dataset,pred_len,features,activation,activation_family,amplitude,frequency,phase,lee_type,baseline_activation,mse_mean,mse_std,mae_mean,mae_std,seed_count_x,server_count,relative_mse_change_mean,win_rate,effect_label,source_file,global_label,factor,sample_count,seed_count_y,start_bin,middle_bin,end_bin,target_relative_change_low,target_relative_change_mid,target_relative_change_high,target_relative_change_high_minus_low,target_win_rate_low,target_win_rate_mid,target_win_rate_high,target_win_rate_high_minus_low,relative_target_mse_change_spearman,target_win_spearman,factor_conditioned,factor_source_file,factor_label
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,1.0608282,0.061035914699593,0.8248468999999999,0.0284217666900402,6,2,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,volatility,8112,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.62/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,3,gelu,1.1257603166666668,0.0590403015069,0.8394035666666667,0.0244402681108138,6,2,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,turbulence_score,8112,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.113/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,3,gelu,1.1257603166666668,0.0590403015069,0.8394035666666667,0.0244402681108138,6,2,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,volatility,8112,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.113/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,3,gelu,1.1257603166666668,0.0590403015069,0.8394035666666667,0.0244402681108138,6,2,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,turbulence_score,8112,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.62/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,3,gelu,1.1257603166666668,0.0590403015069,0.8394035666666667,0.0244402681108138,6,2,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,volatility,8112,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.62/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.1399784666666666,0.0787770611562207,0.858637826,0.033438042241528,6,4,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,turbulence_score,10800,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.113/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.1399784666666666,0.0787770611562207,0.858637826,0.033438042241528,6,4,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,volatility,10800,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.113/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.1399784666666666,0.0787770611562207,0.858637826,0.033438042241528,6,4,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,turbulence_score,5376,1,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.1399784666666666,0.0787770611562207,0.858637826,0.033438042241528,6,4,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,volatility,5376,1,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.1399784666666666,0.0787770611562207,0.858637826,0.033438042241528,6,4,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,turbulence_score,16176,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.62/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.1399784666666666,0.0787770611562207,0.858637826,0.033438042241528,6,4,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,volatility,16176,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.62/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.1399784666666666,0.0787770611562207,0.858637826,0.033438042241528,6,4,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,turbulence_score,8064,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.1399784666666666,0.0787770611562207,0.858637826,0.033438042241528,6,4,,,mixed,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,baseline_or_unpaired,volatility,8064,3,low,mid,high,,,,,,,,,,,False,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,insufficient_bins
ETTh1,168,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,1.1794004666666666,0.0479822374524503,0.8737608133333333,0.0146107044633218,3,1,-0.0052441836261331,0.3333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,turbulence_score,8064,3,low,mid,high,-0.0807275187545003,-0.0459649860963571,-0.0564494183980674,0.0242781003564329,0.2231086657496561,0.3342520671510899,0.2191780821917808,-0.0039305835578753,0.1135684344903842,0.1239945765554109,True,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,supports_factor_gradient_only
ETTh1,168,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,1.1794004666666666,0.0479822374524503,0.8737608133333333,0.0146107044633218,3,1,-0.0052441836261331,0.3333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,volatility,8064,3,low,mid,high,-0.0641993616454414,-0.0186189979525953,-0.0955189909869606,-0.0313196293415191,0.2837028160575194,0.3964386129334583,0.1728395061728395,-0.1108633098846799,-0.1126609692953607,-0.1153537276356878,True,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,opposes_high_factor_benefit
ETTh1,168,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,1.1731152333333332,0.0590607011348775,0.8693217333333333,0.024864915885909,3,1,0.0003817574788467,0.3333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,turbulence_score,8064,3,low,mid,high,-0.097026968628532,-0.0598574744890014,-0.0514714327322815,0.0455555358962505,0.3529573590096286,0.4054121773991481,0.4748858447488584,0.1219284857392298,0.0858126586637065,0.0651836728779265,False,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,supports_factor_gradient_only
ETTh1,168,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,1.1731152333333332,0.0590607011348775,0.8693217333333333,0.024864915885909,3,1,0.0003817574788467,0.3333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,volatility,8064,3,low,mid,high,-0.0802423627870408,-0.0263221550323856,-0.111924465032718,-0.0316821022456771,0.3382264829239065,0.4732895970009372,0.3742283950617284,0.0360019121378218,-0.0332079338507008,0.0321202357318602,True,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,opposes_high_factor_benefit
