dataset,pred_len,features,target,activation,encoder_activation,decoder_activation,output_activation,activation_signature,activation_family,amplitude,lee_type,baseline_activation,baseline_activation_signature,factor,factor_bin,sample_count,seed_count,baseline_target_mse_mean,activation_target_mse_mean,target_mse_delta_mean,aggregate_relative_target_mse_change,relative_target_mse_change_mean,target_win_rate,baseline_all_mse_mean,activation_all_mse_mean,all_mse_delta_mean,aggregate_relative_all_mse_change,relative_all_mse_change_mean,all_win_rate
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,high,19548,3,0.24775316,0.23810093,0.009652227,0.03895905,-0.37259101544252243,0.5069060773480663,0.17062363,0.1636065,0.0070171356,0.0411264,-0.15041656312920235,0.507366482504604
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,low,13269,3,0.30212358,0.27030548,0.031818092,0.10531483,-0.6131412576001555,0.5750998568091039,0.19698474,0.18255863,0.014426112,0.07323467,-0.16175285378644927,0.5785665837666742
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,mid,9150,3,0.31851274,0.295894,0.02261874,0.071013615,-0.20238566739875263,0.5712568306010929,0.24396583,0.23021154,0.013754293,0.056377947,-0.07092508823721023,0.5708196721311476
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,high,19341,3,0.24919428,0.24455108,0.004643202,0.018632859,-0.3284636243055067,0.5148130913603226,0.17104726,0.16792542,0.003121838,0.018251318,-0.16063786944488673,0.5115040587353291
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,low,13017,3,0.26810718,0.2608635,0.007243663,0.027017789,-0.43999986456114143,0.4828301451947453,0.18097042,0.17494956,0.006020859,0.033269852,-0.22062561725931862,0.4613966351693939
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,mid,9195,3,0.30195656,0.2835761,0.018380463,0.060871217,-0.24848077041190833,0.5358346927678086,0.23296575,0.22190806,0.01105769,0.047464874,-0.10334088460154543,0.5436650353452963
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,high,19548,3,0.24337706,0.23773827,0.005638793,0.023168959,-0.2750249374964172,0.5142725598526704,0.16773273,0.1657165,0.0020162314,0.0120205,-0.12518960711389487,0.509463883773276
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,low,10185,3,0.2929792,0.2857465,0.007232696,0.02468672,-0.2161425368509175,0.5604320078546883,0.2730466,0.26290947,0.010137141,0.037126046,-0.08801440062676665,0.5298969072164949
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,mid,17712,3,0.18693547,0.16715994,0.019775525,0.10578798,-0.22471197368700607,0.5559507678410117,0.2303486,0.22076902,0.009579584,0.041587334,-0.08855573456748404,0.5288504968383018
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,high,13863,3,0.1267893,0.111358,0.0154313,0.121708214,-0.3162588082793238,0.5228305561566761,0.19770129,0.19985066,-0.0021493733,-0.010871822,-0.13810262580747093,0.48510423429272165
