dataset,pred_len,seq_len,label_len,e_layers,d_layers,factor,test_sample_count,input_volatility,target_volatility,input_anomaly_density_intensity,target_anomaly_density_intensity,input_turbulence_score,target_turbulence_score,input_mean,target_mean,input_std,target_std,input_cv,target_cv,input_trend,target_trend,input_range,target_range,input_mean_abs_change,target_mean_abs_change,input_max_abs_change,target_max_abs_change,input_skewness,target_skewness,input_kurtosis,target_kurtosis,input_realized_volatility,target_realized_volatility,input_volatility_shock,target_volatility_shock,input_volatility_ratio_late_early,target_volatility_ratio_late_early,input_upside_volatility,target_upside_volatility,input_downside_volatility,target_downside_volatility,input_cumulative_change,target_cumulative_change,input_momentum,target_momentum,input_trend_consistency,target_trend_consistency,input_reversal_rate,target_reversal_rate,input_mean_crossing_rate,target_mean_crossing_rate,input_lag1_autocorr,target_lag1_autocorr,input_mean_reversion_strength,target_mean_reversion_strength,input_jump_intensity,target_jump_intensity,input_tail_ratio,target_tail_ratio,input_max_drawdown,target_max_drawdown,input_max_drawup,target_max_drawup,input_direction_entropy,target_direction_entropy,volatility_bin,anomaly_density_intensity_bin,turbulence_score_bin,mean_bin,std_bin,cv_bin,trend_bin,range_bin,mean_abs_change_bin,max_abs_change_bin,skewness_bin,kurtosis_bin,realized_volatility_bin,volatility_shock_bin,volatility_ratio_late_early_bin,upside_volatility_bin,downside_volatility_bin,cumulative_change_bin,momentum_bin,trend_consistency_bin,reversal_rate_bin,mean_crossing_rate_bin,lag1_autocorr_bin,mean_reversion_strength_bin,jump_intensity_bin,tail_ratio_bin,max_drawdown_bin,max_drawup_bin,direction_entropy_bin
ETTm1,48,96,48,2,1,5,11473,0.1951933291965976,0.19753139681059884,0.051702312009254486,0.05170231200925449,0.4738297263920145,0.4754828838711801,4.892859996281154,4.840530832733161,0.9300616484051045,0.9317320039228619,1.313352469997499,1.3170062067837471,0.008197585386018481,0.008091651400437763,3.6114016504984088,3.614687800984078,0.2109560616029935,0.21098054753310347,0.9751662765739582,0.977073098765747,0.050207762663636316,0.04905191866570109,-0.4224469577816683,-0.42170763368112807,0.28516612755409737,0.285435410307459,-0.06641782520276855,-0.06327353270211382,1.0056570230683197,1.005712209025353,0.30443615017923437,0.30499246830142257,0.31005929603316806,0.3104218420583152,-0.11821081611736703,-0.11253719353524139,-0.6983153086162471,-0.6758886991315656,0.5201983052373883,0.5203637782100883,0.5071350667227258,0.5076776351700806,0.08440686829948588,0.08433805685660166,0.001443250521716695,0.0006569083011282724,0.13661328505501866,0.13720677273928977,0.015811034602980684,0.016032148706115273,3.558908804642989,3.579317663793572,2.8078817707128225,2.8124644878144816,3.13558347293714,3.138277799704118,0.8693442818493256,0.8695605128435877,low,high,low,low,low,mid,down,low,low,low,low,mid,low,mid,low,low,low,low,high,low,high,high,low,mid,low,low,low,low,mid
ETTm1,96,384,384,2,1,5,11425,0.19131282313174705,0.1969802479533079,0.05191952960019054,0.05191952960019052,0.47258536534725926,0.4751541901766252,4.997573575687082,4.83612599507435,0.9318517418891882,0.9303594222438895,1.3139111779638417,1.3205077843081272,0.008566664739181992,0.008149510195109433,3.6195345208224894,3.612289640465242,0.21090156663423745,0.21099890737059604,0.9735294278523593,0.9774830335026496,0.05106352114851096,0.04871173014567029,-0.4235761183206388,-0.41730482746472336,0.28492827423521516,0.28539695214963096,-0.07300402991234109,-0.0631012937977892,1.0055494769069426,1.0046991072037605,0.30445704878818325,0.30480488358000707,0.30927264594536813,0.3103585566336072,-0.1210050685974388,-0.11064465848309202,-0.7289393913406773,-0.6806483196220983,0.5195652304118925,0.5202936155480876,0.5068870154923254,0.5074400030561907,0.08450696763791328,0.08455971438442947,0.0007882266720131493,0.000908835985331785,0.1371006067678945,0.13723357909838318,0.015249568121616723,0.01601105608660578,3.544160360914569,3.5672498509698753,2.7986188686037483,2.8080256524545097,3.147787609513792,3.136684568648265,0.8690258672238055,0.8693249374139366,low,high,low,low,low,mid,down,low,low,low,low,mid,low,high,low,low,low,low,high,low,high,high,low,high,low,low,low,low,mid
ETTm1,288,672,288,2,1,5,11233,0.18663558775538547,0.19586576461807828,0.052797227369940095,0.052806963917223976,0.47253872662596025,0.47454462555384774,5.084751849723194,4.811531662468856,0.9354280551039994,0.9258469166841853,1.3306022748258401,1.3380049912542782,0.008853324900813465,0.008121747869439953,3.6279390186567526,3.60070545976125,0.21150860274001765,0.21072559751269807,0.9779723579607258,0.9772275506657709,0.03826260080416966,0.0501017119148898,-0.4644024229103293,-0.409405285709238,0.28583228425573165,0.285036727175825,-0.07698086428325802,-0.06326211784354632,1.0085466353549355,1.003940811769615,0.3060678645853017,0.30399951182886364,0.30961851171865623,0.3103009865132933,-0.10916051407183329,-0.12056803194442667,-0.7647134856169798,-0.6874041175601029,0.5189650939632022,0.5196600101823176,0.5060984054489862,0.506948535377242,0.08440010267813228,0.08537563975816881,0.001013830253371965,0.001297788727178681,0.13707879398376024,0.1381896924378352,0.01494510669087903,0.015925507706772264,3.556873903854689,3.5523640341472884,2.797846809071081,2.796345226061394,3.173749410018981,3.121509471826905,0.8683085812845718,0.8691508896268652,low,high,low,low,low,mid,down,low,low,low,low,mid,low,mid,low,low,low,low,high,low,high,high,low,high,low,low,low,low,mid
ETTm1,672,672,384,2,1,5,10849,0.18197196015525857,0.19447728352335678,0.054654474735322506,0.05467322168608776,0.47353455244750003,0.4740228532126764,5.120246522740185,4.732722147406492,0.9359672741390307,0.9186837238072778,1.369260955137408,1.377662322546288,0.008861796971841928,0.008166184546534212,3.6320103256422906,3.576113560591956,0.21192096582866465,0.21026797872602532,0.9833376169237676,0.9760216009732933,0.033603431124097444,0.041064956123848625,-0.4803858142194714,-0.4104738604442019,0.2867390838969596,0.28436189994805494,-0.07683308285973883,-0.06275804215191239,1.0122658941657015,1.0017950555660442,0.3075581597475033,0.3032580245338715,0.31038265002832166,0.30961590282647683,-0.11776401781584372,-0.11269508743950751,-0.7949510671900524,-0.6776160715126047,0.5185085150864999,0.5184894828321558,0.5056242724071347,0.5061592199086464,0.0846616783917579,0.08674598053803523,-0.0001355089680287555,0.0013339813239306836,0.13740573263056766,0.1397554067329205,0.015136352264197935,0.01585915891212014,3.5718318375787117,3.533803526401731,2.806164494417568,2.7673827768929686,3.1882080859585264,3.0982838913529718,0.86775763845087,0.8684059290367409,low,high,low,low,low,high,down,low,low,low,low,mid,low,high,low,low,low,low,high,low,high,high,low,high,low,low,low,low,mid
ETTm2,24,672,96,2,1,5,11497,0.228672147176661,0.23045623976920693,0.016659330747350966,0.01705486815623518,0.7172741363340768,0.703691703002902,14.782296741023293,14.399645557473313,3.4335858139209683,3.368729483969435,0.2729440063091625,0.2724351704526867,0.05747128224827462,0.05588772593437952,10.721755589814304,10.532510807589468,0.217872258394489,0.21335904528678243,0.8280068583659933,0.8185414583971057,0.21626266727663263,0.20921339410566617,-1.0149925775964088,-1.0103148857097553,0.3111857716869076,0.30581870746007794,-0.038773766634233243,-0.06171218723494033,0.8782870569329123,0.8834186313537773,0.5100625985683602,0.5020141671691883,0.3213699705555776,0.32012691968648743,0.010726708828685181,-0.0010577288359946463,-3.7972275646326055,-3.644840849910994,0.613867381483066,0.6169161024866864,0.05818903828376477,0.0595532369970044,0.020415279958615692,0.020184212815241912,0.6227941553894857,0.6098626799433098,0.020415279958615692,0.020184212815241912,0.03265865040961971,0.030858393265062227,12348954.379189739,12971270.582113305,7.631780914912577,7.457617400739155,10.251536601714003,10.029437844562688,0.8642053596236916,0.8559426914192672,mid,low,mid,high,mid,low,flat,mid,low,low,mid,low,low,high,low,low,low,low,low,high,low,low,high,low,mid,mid,mid,mid,mid
ETTm2,48,96,48,2,1,5,11473,0.23073853153063675,0.23054764967114652,0.017090544686850506,0.017090544686850506,0.7075129902824956,0.70360114251659,14.48165136941537,14.394089621268234,3.3872940731766787,3.3678870354649106,0.2730121823346643,0.27259996629781075,0.05637226116323652,0.055942726376527335,10.591111356312464,10.530871850760763,0.21476034023040222,0.21335055359092764,0.822073836501366,0.8184144660410985,0.21119162224813462,0.20908780729248572,-1.0104277743215269,-1.0098188694414947,0.307567651861781,0.305816316375758,-0.05553756406287287,-0.06195475649891469,0.8818266948695374,0.8831491403554383,0.5044775480609025,0.5020596987284364,0.32087147703130453,0.32006232543930907,-0.002410288354964723,0.0016976627239132208,-3.6903085956741397,-3.643962456044766,0.6154107968990994,0.616637708558305,0.05934335896938436,0.05958682604659673,0.020259465013968213,0.020193406028799377,0.6146628922174308,0.6100627056281798,0.020259465013968213,0.020193406028799377,0.03131425268479308,0.030746787652474634,12837330.763157008,12975394.187586227,7.509641251754794,7.45345325976192,10.09507661018315,10.030193400634444,0.858975875741779,0.8561989722744626,mid,low,mid,high,mid,low,flat,mid,low,low,mid,low,low,high,low,low,low,mid,low,high,low,low,high,low,mid,mid,mid,mid,mid
ETTm2,96,384,384,2,1,5,11425,0.2308952401867898,0.2307316215998292,0.017086036270034667,0.017162347412887163,0.7174341498235111,0.703418880125145,14.65764708364979,14.382907722178555,3.435079433577636,3.3661915202865282,0.2743924284021507,0.27293163506479373,0.05747605970188631,0.056053420483025966,10.730368098336184,10.5275732797919,0.21772822338505335,0.21333346317040375,0.8281246735126236,0.8181588807252095,0.21396957665037106,0.20883505077762599,-1.0130957263446294,-1.0088205851463186,0.3110595862463923,0.3058115040700379,-0.04178262467020624,-0.06244295235500449,0.8753220153478063,0.8826067617107288,0.5098233391683462,0.5021513357239156,0.3213329350133114,0.3199323228030186,0.010654696479146122,0.007243174630129525,-3.777156098092411,-3.6421945970898384,0.6142179289911343,0.6160774118415259,0.058394937786493496,0.05965442750010449,0.020397788782678283,0.02021190832661472,0.6219467017462887,0.6104652781093962,0.020397788782678283,0.02021190832661472,0.03251733271910624,0.03052216975699637,12474058.370908273,12983693.372202812,7.6214193383348325,7.445072493229706,10.243643992108902,10.031714035760391,0.8635813672898038,0.85671476413305,mid,low,mid,high,mid,low,up,mid,low,low,mid,low,low,high,low,low,low,high,low,high,low,low,high,low,mid,mid,mid,mid,mid
ETTm2,288,672,288,2,1,5,11233,0.22512881092978873,0.23208450983707044,0.01607420094035207,0.017455694755829775,0.7178782275660927,0.7051859506327285,14.823344346084118,14.323828094409242,3.432435762884543,3.3709912948365393,0.27317630624709305,0.2750077649888758,0.057445225577447745,0.05630926403842148,10.718272990448375,10.549548392550676,0.21825444762769453,0.21391199671286606,0.8286269437638955,0.8189883225908435,0.2161086573082276,0.20691698558161578,-1.014195514186694,-1.006376463721795,0.3115833685959493,0.30645386918473194,-0.038048440768897504,-0.06164549135389446,0.8771892640344774,0.8793970503344104,0.5107537465686465,0.5033697007130686,0.32129578466259645,0.3192758252180495,0.0032894456735714102,-0.0019047754115601337,-3.8198070151701784,-3.6545916001886356,0.61222929621917,0.6151255481175977,0.05793669354221906,0.059032840695059874,0.020490344975765705,0.02028749877007076,0.6245713037108784,0.6120500109092946,0.020490344975765705,0.02028749877007076,0.03230237973639693,0.0303868926299546,12238005.697646393,12971296.252021713,7.6539954512603,7.450537239926134,10.266138259542464,10.056557996502482,0.8656087964060484,0.8582715680159934,mid,low,mid,high,mid,low,up,mid,low,low,mid,low,low,high,low,low,low,low,low,high,low,low,high,low,mid,mid,mid,mid,mid
ETTm2,672,672,384,2,1,5,10849,0.21630398460701472,0.23269335706690036,0.015247419528529628,0.0177306584783042,0.7130615184734803,0.7050604180640896,14.906872327929221,14.159252043673641,3.401197720608575,3.3641138735042513,0.27025011426516343,0.2783521568595334,0.056371227216875486,0.05660197100013477,10.624111276239,10.531258851067243,0.21700347187365354,0.21347784249293497,0.8258686185985061,0.8183280523694875,0.21756063163600778,0.19984110072220257,-1.0104526702430907,-1.005195418712905,0.31020855659758423,0.30605542290465176,-0.043130081379021995,-0.06469355649816362,0.8753887177842445,0.8749089565212754,0.5090556235752245,0.5035917145116242,0.32147207378550463,0.31805735759126486,-0.028685361028805464,0.019366027401789627,-3.790263265696647,-3.64600330857034,0.6107007457099419,0.6135408375371364,0.058299614855517545,0.05893745243083905,0.02049376367455595,0.020353838786291437,0.623090055354008,0.6113602431375841,0.02049376367455595,0.020353838786291437,0.031173882489429337,0.02975366912996375,12316291.457066612,13019187.544594292,7.6385836095391335,7.40675385896704,10.190018238450534,10.046567334448843,0.864262269195072,0.8585180970039841,mid,low,mid,high,mid,low,up,mid,low,low,low,low,low,mid,low,low,low,high,low,high,low,low,high,low,mid,mid,mid,mid,mid
Solar1,24,96,48,2,1,5,14012,1.3702348248299878,1.3720902560811223,0.017035231959887296,0.017083957790871785,1.0144639911689592,1.014684030823029,9.363921017504289,9.352733713491805,13.00552244155965,13.008030325619467,1.4227709469303973,1.4248334479510265,0.07971648429355867,0.07965906021480464,37.142134808485565,37.148815699578904,1.0616986651929892,1.060287815449161,8.347056644340539,8.330495125570911,1.0219697278671735,1.0245069982151949,-0.43443705123890647,-0.43003731680396007,2.0730097445844984,2.071594153030041,-0.05950893234151829,-0.058982044571940846,2099379.5931609,2099379.59381662,3.0488497482982893,3.050781955534386,3.0465757933940663,3.047469857902624,0.0,0.0,-6.481686111975429,-6.408549829431891,0.5426565428456152,0.5425815247134711,0.17536844542098637,0.17498954812248443,0.02350466517421078,0.02350466517421078,0.5383338660160901,0.539096152206642,0.04040567967350679,0.040172066399755305,0.03915065282389489,0.03926183571975859,272807383.8738401,275498712.63704836,37.142134808485565,37.148815699578904,37.142134808485565,37.148815699578904,0.9158468804781579,0.9152797746550276,high,low,high,mid,high,high,up,high,high,high,high,mid,high,high,high,high,high,low,low,mid,low,low,high,low,high,high,high,high,high
