dataset,pred_len,activation,activation_family,amplitude,lee_type,baseline_activation,factor,source_host,sample_count,seed_count,relative_target_mse_change_mean_low,relative_target_mse_change_mean_high,relative_target_mse_change_mean_high_minus_low,aggregate_relative_target_mse_change_low,aggregate_relative_target_mse_change_high,aggregate_relative_target_mse_change_high_minus_low,target_win_rate_low,target_win_rate_high,target_win_rate_high_minus_low,relative_all_mse_change_mean_low,relative_all_mse_change_mean_high,relative_all_mse_change_mean_high_minus_low,aggregate_relative_all_mse_change_low,aggregate_relative_all_mse_change_high,aggregate_relative_all_mse_change_high_minus_low,all_win_rate_low,all_win_rate_high,all_win_rate_high_minus_low
ETTh1,168,tanh_sin,sin_perturb,0.1,1,tanh,mean,10.21.53.113,10800,3,-0.1329477919104589,-0.0890464652329683,0.04390132667749061,-0.0927328914403915,-0.0887262374162674,0.004006654024124104,0.3140829165994515,0.5,0.18591708340054852,-0.0065755199597334,0.0201476571382954,0.026723177098028798,-0.0079522924497723,0.0173228718340396,0.0252751642838119,0.4623326342958542,0.625,0.1626673657041458
ETTh1,168,tanh_sin,sin_perturb,0.1,1,tanh,mean_abs_change,10.21.53.113,10800,3,-0.1457303988509295,-0.2959443219006061,-0.1502139230496766,-0.0995432361960411,-0.2907410860061645,-0.1911978498101234,0.2952127659574468,0.25,-0.04521276595744678,-0.0021073350362864,-0.0073160824831575,-0.0052087474468711,-0.0028104963712394,-0.0069894222542643,-0.0041789258830249,0.4886524822695035,0.5,0.011347517730496526
ETTh1,168,tanh_sin,sin_perturb,0.1,1,tanh,skewness,10.21.53.113,10800,3,-0.1617580195566422,-0.1184941238635559,0.04326389569308631,-0.1194127053022384,-0.0805892199277877,0.0388234853744507,0.2609233305853256,0.3782154340836013,0.11729210349827573,-0.0132507615036055,0.003792541406461,0.0170433029100665,-0.0110081536695361,0.0013861393090337,0.0123942929785698,0.4482687551525144,0.5128617363344051,0.06459298118189072
ETTh1,168,tanh_sin,sin_perturb,0.1,1,tanh,turbulence_score,10.21.53.113,10800,3,-0.1333195534446557,-0.0994889738517132,0.033830579592942514,-0.0994978323578834,-0.0603527724742889,0.0391450598835945,0.3075278015397776,0.3732876712328767,0.0657598696930991,-0.0064219743184759,-0.0108265855198466,-0.0044046112013707,-0.0063299271278083,-0.0093470597639679,-0.0030171326361596003,0.4555175363558597,0.4018264840182648,-0.05369105233759486
ETTh1,168,tanh_sin,sin_perturb,0.1,1,tanh,volatility,10.21.53.113,10800,3,-0.1799105931686537,-0.1229274938351558,0.056983099333497905,-0.1329268366098404,-0.0872956216335296,0.0456312149763108,0.2937255803263617,0.3287671232876712,0.03504154296130951,-0.0098449923457883,-0.0193671530281344,-0.0095221606823461,-0.0057823830284178,-0.0174223948270082,-0.011640011798590399,0.4727648816364054,0.3578767123287671,-0.11488816930763829
ETTh2,168,lee,lee_oc,0.0,1,gelu,anomaly_density_intensity,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,1,gelu,cv,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,1,gelu,kurtosis,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,1,gelu,max_abs_change,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,1,gelu,mean,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,1,gelu,mean_abs_change,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,1,gelu,range,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,1,gelu,skewness,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
