dataset,pred_len,activation,amplitude,lee_type,baseline_activation,factor,sample_count,seed_count,relative_target_mse_change_mean_end_minus_start,target_win_rate_end_minus_start,aggregate_relative_target_mse_change_end_minus_start,relative_target_mse_change_spearman,target_win_spearman,factor_conditioned,aggregate_factor_conditioned,source_host
ETTh1,168,tanh_sin,0.01,1,tanh,turbulence_score,10800,3,-0.0143573200452752,0.0249960384701009,-0.0155410505831241,0.0004262703473091,0.0103916111896243,False,False,10.21.53.113
ETTh1,168,tanh_sin,0.01,1,tanh,volatility,10800,3,-0.0090806471166056,0.0353024327962061,-0.0057949889451265,-0.0060129539137973,0.0241105319838726,False,False,10.21.53.113
ETTh1,168,tanh_sin,0.1,1,tanh,turbulence_score,10800,3,0.0338305795929424,0.0657598696930991,0.0391450598835945,-0.0132891268796269,0.0013233071312283,False,False,10.21.53.113
ETTh1,168,tanh_sin,0.1,1,tanh,volatility,10800,3,0.0569830993334978,0.0350415429613094,0.0456312149763107,0.0694423566540314,0.0482797319721551,False,False,10.21.53.113
ETTh2,168,lee,0.0,1,tanh,turbulence_score,8112,3,-0.0164883082792631,-0.1133331992167592,-0.0131257604807615,-0.0316829458611682,-0.063966139020103,False,False,10.21.53.113
ETTh2,168,lee,0.0,1,tanh,volatility,8112,3,0.0031411227532247,0.0170039186443048,0.0097880959510803,0.0458111945757827,0.0502734087700626,False,False,10.21.53.113
ETTh2,168,lee,0.0,3,tanh,turbulence_score,8112,3,0.0516799485822245,-0.0060238459268796,0.0615588128566741,0.0922786668938407,-0.0380481310032651,False,True,10.21.53.113
ETTh2,168,lee,0.0,3,tanh,volatility,8112,3,0.0960422582734323,0.0258746209782606,0.0957438945770263,0.1746176011538155,0.0534665138098218,True,True,10.21.53.113
ETTh2,168,tanh,0.0,1,gelu,turbulence_score,8112,3,,,,,,False,False,10.21.53.113
ETTh2,168,tanh,0.0,1,gelu,volatility,8112,3,,,,,,False,False,10.21.53.113
ETTh2,168,tanh_sin,0.01,1,tanh,turbulence_score,8112,3,-0.0032067826297314,-0.0770110780290228,-0.0035869861021637,-0.0027706809596465,-0.0445515530129666,False,False,10.21.53.113
ETTh2,168,tanh_sin,0.01,1,tanh,volatility,8112,3,0.009289415694548,-0.0003919825233157,0.0045251930132508,0.0405591963369197,0.0129967774549845,False,False,10.21.53.113
ETTh2,168,tanh_sin,0.1,1,tanh,turbulence_score,8112,3,-0.0335395318863374,-0.0555329792655776,-0.0211686566472053,-0.0360838017310389,0.0026205311378115,False,False,10.21.53.113
ETTh2,168,tanh_sin,0.1,1,tanh,volatility,8112,3,-0.0047338401608326,0.0773852109986684,0.0074015334248542,0.0202986583642938,0.0848473060132653,False,False,10.21.53.113
Solar1,24,tanh,0.0,1,gelu,turbulence_score,41952,3,,,,,,False,False,10.21.53.142
Solar1,24,tanh,0.0,1,gelu,volatility,41952,3,,,,,,False,False,10.21.53.142
Solar1,24,tanh_cos,0.01,1,tanh,turbulence_score,41952,3,-0.1217321918611018,-0.0289954270253687,0.0575175005942583,-0.0249852394043345,-0.0147735833594681,True,False,10.21.53.142
Solar1,24,tanh_cos,0.01,1,tanh,volatility,41952,3,-0.0867037530508318,-0.021477527763242,0.0519141722470521,-0.0407443705603493,-0.0237958595778947,True,False,10.21.53.142
