dataset,pred_len,activation,activation_family,amplitude,lee_type,baseline_activation,factor,source_host,sample_count,seed_count,relative_target_mse_change_mean_low,relative_target_mse_change_mean_high,relative_target_mse_change_mean_high_minus_low,aggregate_relative_target_mse_change_low,aggregate_relative_target_mse_change_high,aggregate_relative_target_mse_change_high_minus_low,target_win_rate_low,target_win_rate_high,target_win_rate_high_minus_low,relative_all_mse_change_mean_low,relative_all_mse_change_mean_high,relative_all_mse_change_mean_high_minus_low,aggregate_relative_all_mse_change_low,aggregate_relative_all_mse_change_high,aggregate_relative_all_mse_change_high_minus_low,all_win_rate_low,all_win_rate_high,all_win_rate_high_minus_low
Solar5,96,tanh_sin,sin_perturb,0.1,1,tanh,anomaly_density_intensity,10.21.53.162,41760,3,-0.1634714640191282,-0.3019706955041672,-0.138499231485039,0.0111584523692727,-0.0049491706304252,-0.0161076229996979,0.5233374008541793,0.4786922325605305,-0.04464516829364884,-0.1273910319611668,-0.1654176377076431,-0.03802660574647629,-0.0193322040140628,-0.0154927335679531,0.0038394704461097023,0.4768913971934106,0.4493394335064,-0.027551963687010628
Solar5,96,tanh_sin,sin_perturb,0.1,1,tanh,cv,10.21.53.162,41760,3,-0.1228953858322896,-0.2105053677174173,-0.0876099818851277,0.0700045451521873,-0.0125433877110481,-0.0825479328632354,0.5187165775401069,0.5141715807494769,-0.004544996790630029,-0.0636146420227926,-0.1437209440287089,-0.08010630200591631,0.0626320019364357,-0.0281552821397781,-0.0907872840762138,0.5147058823529411,0.4803119649990489,-0.034393917353892245
Solar5,96,tanh_sin,sin_perturb,0.1,1,tanh,kurtosis,10.21.53.162,41760,3,-0.298802445082454,-0.1953820399408776,0.10342040514157641,0.0599308609962463,0.0012510642409324,-0.0586797967553139,0.4966493731085171,0.5118030412744388,0.015153668165921674,-0.1412347420946149,-0.1477342061390853,-0.00649946404447041,0.0537039339542388,-0.0297164041548967,-0.0834203381091355,0.4697362732382187,0.4692734733285059,-0.0004627999097128188
Solar5,96,tanh_sin,sin_perturb,0.1,1,tanh,max_abs_change,10.21.53.162,41760,3,-0.2406034297659166,-0.1776166212136297,0.06298680855228689,0.0102513339370489,0.01638750359416,0.0061361696571111,0.5221074927190892,0.5129175460301288,-0.009189946688960338,-0.1805567620953307,-0.1075178042253136,0.0730389578700171,-0.0370593778789043,0.0009039407013915,0.0379633185802958,0.447445062218692,0.489593188268685,0.04214812604999296
Solar5,96,tanh_sin,sin_perturb,0.1,1,tanh,mean,10.21.53.162,41760,3,-0.2135263544428844,-0.237874050423723,-0.024347695980838607,-0.0213204585015773,0.021778205409646,0.0430986639112233,0.516390058624391,0.489869197230059,-0.026520861394332018,-0.1499993015316188,-0.117611477042365,0.0323878244892538,-0.0422646030783653,0.0138603784143924,0.0561249814927577,0.4736190240277433,0.4676412755407369,-0.005977748487006385
Solar5,96,tanh_sin,sin_perturb,0.1,1,tanh,mean_abs_change,10.21.53.162,41760,3,-0.2505879729013319,-0.1880945917511196,0.0624933811502123,-0.0236943922936916,0.0150347976014018,0.0387291898950934,0.5275400482773754,0.50891385193421,-0.018626196343165424,-0.1768183668212556,-0.1053789300001667,0.0714394368210889,-0.0551192574203014,0.0048096901737153,0.0599289475940167,0.4505156901470265,0.4889008166238546,0.03838512647682807
Solar5,96,tanh_sin,sin_perturb,0.1,1,tanh,range,10.21.53.162,41760,3,-0.2350499337494224,-0.245765596308119,-0.010715662558696604,-0.0065874769352376,0.023885129019618,0.0304726059548556,0.514152633464708,0.4949672873678913,-0.019185346096816658,-0.1560415570051442,-0.131120873314341,0.02492068369080319,-0.0327113382518291,0.0060142120346426,0.0387255502864717,0.4662605995461603,0.4681501186282263,0.0018895190820660268
Solar5,96,tanh_sin,sin_perturb,0.1,1,tanh,skewness,10.21.53.162,41760,3,-0.2269314274662106,-0.1775546703016818,0.0493767571645288,0.0646210685372352,0.0030422043055295,-0.06157886423170571,0.5118346611245814,0.5187796875765144,0.006945026451932956,-0.118199186242397,-0.1344451744146159,-0.016245988172218895,0.0603381134569644,-0.0265470445156097,-0.0868851579725741,0.485278836162106,0.4766661769746829,-0.0086126591874231
Solar5,96,tanh_sin,sin_perturb,0.1,1,tanh,std,10.21.53.162,41760,3,-0.2169685572132487,-0.2581192581665525,-0.04115070095330381,-0.0207265764474868,0.0213140603154897,0.0420406367629765,0.5157318741450069,0.4911828283211347,-0.024549045823872184,-0.1585263724764748,-0.1330030109194175,0.02552336155705731,-0.0438365377485752,0.0074941809289157,0.051330718677490894,0.4685818513451892,0.4682012969775114,-0.00038055436767781003
Solar5,96,tanh_sin,sin_perturb,0.1,1,tanh,turbulence_score,10.21.53.162,41760,3,-0.1924434989880247,-0.2868614401419733,-0.09441794115394858,0.0052855615504086,0.0285729989409446,0.023287437390536,0.5296998690130418,0.4813298865431566,-0.048369982469885164,-0.1400079019871206,-0.1409798326630465,-0.0009719306759259083,-0.025849001482129,0.0198273509740829,0.045676352456211905,0.4864172219374679,0.4511704724974867,-0.035246749439981184
