model_scope,target_kind,abstain,feature,train_gain_vs_static,train_regret_vs_oracle,fold,eval_name,feature_set,variant
Informer-fullgrid,config,True,input_anomaly_density_intensity,0.013545513808280714,0.030584517802066082,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_turbulence_score,0.011057352217275782,0.033140241598098336,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_mean,0.0066167769118513214,0.039462145804242246,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_std,-0.0009147809607104528,0.04730526336798984,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_cv,0.005234016748514022,0.0408775710053105,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_volatility,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_anomaly_density_intensity,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_turbulence_score,0.002060127882957176,0.0017559841549969583,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_mean,0.0006143253585507604,0.003211074881508836,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_std,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_cv,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_cv,0.00019697431537109086,0.00012585218615155267,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_volatility,0.01284483687889871,0.02848421196710433,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_anomaly_density_intensity,0.013510420375162173,0.027793361558392023,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_turbulence_score,0.01102225878415724,0.030349085354424276,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_mean,0.006393339091766343,0.03704106992160552,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_std,-0.0009498743938289941,0.04451410712431578,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_cv,0.0057122898392472,0.03756368037599391,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_volatility,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_anomaly_density_intensity,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_turbulence_score,0.002060127882957176,0.0017559841549969583,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_mean,0.0006143253585507604,0.003211074881508836,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_std,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_cv,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_cv,0.00019697431537109086,0.00012585218615155267,Informer-fullgrid:ETTh1/720,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_volatility,0.01396884566961218,0.03041303465106957,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_anomaly_density_intensity,0.013247689169072286,0.031114339237214184,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_turbulence_score,0.011818329209684675,0.03256276385698894,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_mean,0.007891111332874704,0.0384124482406469,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_std,-0.00018982162901150546,0.04680688583417699,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_cv,0.0057122898392472,0.040618040494678063,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_volatility,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_anomaly_density_intensity,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_turbulence_score,0.002060127882957176,0.0017559841549969583,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_mean,0.0006143253585507604,0.003211074881508836,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_std,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_cv,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_cv,0.00019697431537109086,0.00012585218615155267,Informer-fullgrid:ETTh2/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_volatility,0.014646447028852825,0.029493861943323083,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_anomaly_density_intensity,0.013902344898326598,0.030195166529467698,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_turbulence_score,0.012543088381836424,0.03164359114924246,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_mean,0.008432983017689638,0.03749327553290042,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_std,0.00169347590570396,0.045537416077840405,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_cv,0.006317373038869456,0.039698867786931574,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_volatility,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_anomaly_density_intensity,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_turbulence_score,0.002060127882957176,0.0017559841549969583,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_mean,0.0006143253585507604,0.003211074881508836,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_std,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_cv,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_cv,0.00019697431537109086,0.00012585218615155267,Informer-fullgrid:ETTh2/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_volatility,0.014602063475559804,0.03041303465106957,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_anomaly_density_intensity,0.013857961345033577,0.031114339237214184,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_turbulence_score,0.012805974816621933,0.032277908038389515,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_mean,0.008388599464396617,0.0384124482406469,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_std,0.00169347590570396,0.04644292980828102,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_cv,0.006272989485576435,0.040618040494678063,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_volatility,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_anomaly_density_intensity,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
