dataset,pred_len,input_volatility,input_anomaly_density_intensity,input_turbulence_score,input_mean,input_std,input_cv,input_trend,input_range,input_mean_abs_change,input_max_abs_change,input_skewness,input_kurtosis,input_realized_volatility,input_volatility_shock,input_volatility_ratio_late_early,input_upside_volatility,input_downside_volatility,input_cumulative_change,input_momentum,input_trend_consistency,input_reversal_rate,input_mean_crossing_rate,input_lag1_autocorr,input_mean_reversion_strength,input_jump_intensity,input_tail_ratio,input_max_drawdown,input_max_drawup,input_direction_entropy,input_spectral_entropy,input_dominant_frequency_energy_ratio,input_top3_frequency_energy_ratio,input_low_freq_energy_ratio,input_mid_freq_energy_ratio,input_high_freq_energy_ratio,input_spectral_centroid,input_spectral_bandwidth,input_spectral_flatness,input_daily_cycle_energy_ratio,router_time_robust_scale_ratio,router_time_iqr_mad_ratio,router_time_outlier_mass_z3,router_time_late_early_level_shift,router_time_local_roughness_ratio,router_time_trend_to_noise_ratio,router_time_dynamic_range_log,router_time_near_zero_fraction,router_norm_normalization_drift_score,router_freq_seasonal_peak_strength,router_freq_harmonic_energy_ratio,router_freq_spectral_entropy,router_freq_high_freq_noise_share,router_freq_dominant_period_to_horizon_ratio,router_timefreq_rolling_spectral_entropy_std,router_timefreq_dominant_frequency_drift,router_timefreq_burstiness_index,router_timefreq_phase_concentration,router_multivar_cross_channel_mean_abs_corr,router_multivar_correlation_condition_number,router_multivar_channel_heterogeneity_cv,router_multivar_target_channel_dominance,router_multivar_missing_or_constant_channel_ratio,seq_len,label_len,e_layers,d_layers,factor,test_sample_count,router_window_count,router_source_csv
ETTm1,24,0.1898013575287425,0.05159233370249538,0.4721507268191042,5.0572576437373975,0.9353554610804129,1.3062978100067495,0.008758211485252826,3.627103707559067,0.21139815796266598,0.9756508460821878,0.04343280135963632,-0.44921304787865746,0.2855568164313498,-0.07541260783265714,1.0064036960312053,0.30535030175613415,0.3097146016261061,-0.10625224000652571,-0.7381734710907115,0.5195522719311577,0.506689506132329,0.08400759662049805,0.0009923846101244681,0.13666131854815222,0.015088457204592542,3.5510281403570634,2.7989189140530577,3.166558792473162,0.8689064133531046,0.3736779403235985,0.6000517284429082,0.7904499498789495,0.8924255836723659,0.05616033495779218,0.026364068322960864,0.0369735942211244,0.06096456608584411,0.08487709437689057,0.5534043483499473,1.5095014377640827,2.133840159277365,0.010819208054315474,1.1279459144516173,0.1359753566152513,1.8165278935070708,1.984891043613075,0.027180989583333332,2.2097619020174584,0.16296900259041802,0.20801673946006605,0.37002311918343955,0.006513560749080247,20.685546866381024,0.08329524981418604,0.002455938430059524,3.0639762681292018,0.4266158607811839,0.3208984465654563,7.889928622534823,1.016990851876498,0.32674019617498606,0.0,672,96,2,1,5,11497,1024,lee_ocil/ETT-small/ETTm1.csv
ETTm1,48,0.1951933291965976,0.051702312009254486,0.4738297263920145,4.892859996281154,0.9300616484051045,1.313352469997499,0.008197585386018481,3.6114016504984088,0.2109560616029935,0.9751662765739582,0.050207762663636316,-0.4224469577816683,0.28516612755409737,-0.06641782520276855,1.0056570230683197,0.30443615017923437,0.31005929603316806,-0.11821081611736703,-0.6983153086162471,0.5201983052373883,0.5071350667227258,0.08440686829948588,0.001443250521716695,0.13661328505501866,0.015811034602980684,3.558908804642989,2.8078817707128225,3.13558347293714,0.8693442818493256,0.3767890106682051,0.596405295605841,0.7882012141965744,0.8915222714829197,0.056752617555365,0.02662269659755702,0.03724626477478287,0.06126254558436811,0.0859110550455865,0.5478510784734812,1368352.2310833456,1210866.580760568,0.032918294270833336,1.590542769927517,0.25201039408296183,2.8199479972757975,1.9185609295339834,0.027180989583333336,2.304440305278731,0.7090269773675708,0.8392896343010794,0.40209970472132256,0.029201703526370967,1.8209030874182646,0.13118028512499397,0.011027018229166666,4.809146707808203,0.4074402286650968,0.43710844656996467,7.853690021868736,1.0021540069549484,0.2394748561734,0.0009765625,96,48,2,1,5,11473,1024,lee_ocil/ETT-small/ETTm1.csv
ETTm1,96,0.19131282313174705,0.05191952960019054,0.47258536534725926,4.997573575687082,0.9318517418891882,1.3139111779638417,0.008566664739181992,3.6195345208224894,0.21090156663423745,0.9735294278523593,0.05106352114851096,-0.4235761183206388,0.28492827423521516,-0.07300402991234109,1.0055494769069426,0.30445704878818325,0.30927264594536813,-0.1210050685974388,-0.7289393913406773,0.5195652304118925,0.5068870154923254,0.08450696763791328,0.0007882266720131493,0.1371006067678945,0.015249568121616723,3.544160360914569,2.7986188686037483,3.147787609513792,0.8690258672238055,0.375522630084133,0.597482807805265,0.7888822876949296,0.8917709566536178,0.05648210838788083,0.02653905749679527,0.037152399803321495,0.06113557699825938,0.08558883060284461,0.5500005625289741,1.5486250959039662,2.15174344756563,0.0158233642578125,1.2916091600204054,0.1561742011422842,2.0842095255484665,1.9767810079147,0.027313232421874997,2.2346140369919567,0.26678304654865664,0.3540448644692499,0.3675021537142782,0.009098143243947091,3.0398437496833495,0.11220468530765233,0.0027872721354166665,3.7138361290608666,0.5911662982674388,0.34342157891281067,7.8539964077735736,1.0147470076656713,0.3000591776277899,0.0,384,384,2,1,5,11425,1024,lee_ocil/ETT-small/ETTm1.csv
ETTm1,288,0.18663558775538547,0.052797227369940095,0.47253872662596025,5.084751849723194,0.9354280551039994,1.3306022748258401,0.008853324900813465,3.6279390186567526,0.21150860274001765,0.9779723579607258,0.03826260080416966,-0.4644024229103293,0.28583228425573165,-0.07698086428325802,1.0085466353549355,0.3060678645853017,0.30961851171865623,-0.10916051407183329,-0.7647134856169798,0.5189650939632022,0.5060984054489862,0.08440010267813228,0.001013830253371965,0.13707879398376024,0.01494510669087903,3.556873903854689,2.797846809071081,3.173749410018981,0.8683085812845718,0.37420393832399207,0.5985508535753782,0.7893607247319185,0.891727621435456,0.05619185430568895,0.02644178126944979,0.03701383648517375,0.060971684129445224,0.08488777086053942,0.5531862992845281,1.5082048502144165,2.128359956955393,0.011131649925595238,1.125827925709451,0.1362210501651984,1.8215537895125977,1.9854982688043494,0.027746291387648808,2.206791119118307,0.1649504742596671,0.2103621149349223,0.36982379669274157,0.006527220795112386,1.710042317648957,0.08333639455462621,0.002415248325892857,3.041977510148102,0.4256116212332942,0.32002489380323684,7.84666912121797,1.013140686480108,0.33098682794256107,0.0,672,288,2,1,5,11233,1024,lee_ocil/ETT-small/ETTm1.csv
ETTm1,672,0.18197196015525857,0.054654474735322506,0.47353455244750003,5.120246522740185,0.9359672741390307,1.369260955137408,0.008861796971841928,3.6320103256422906,0.21192096582866465,0.9833376169237676,0.033603431124097444,-0.4803858142194714,0.2867390838969596,-0.07683308285973883,1.0122658941657015,0.3075581597475033,0.31038265002832166,-0.11776401781584372,-0.7949510671900524,0.5185085150864999,0.5056242724071347,0.0846616783917579,-0.0001355089680287555,0.13740573263056766,0.015136352264197935,3.5718318375787117,2.806164494417568,3.1882080859585264,0.86775763845087,0.37359104198392007,0.5986126866405632,0.7889667713769156,0.8906392711633265,0.05620881082511154,0.02660569255299548,0.03699689363680234,0.06101895562104728,0.08484956495253332,0.5540143342155116,1.495125330533385,2.096079163219948,0.010476248604910714,1.1257017354905325,0.13639548814177788,1.8502135577035261,1.9806116872115307,0.02874319893973214,2.2021063906031997,0.1677325865012072,0.21352390216700856,0.36950287624472705,0.006593634496059482,0.7294573102570022,0.08247439990359423,0.00249662853422619,3.021386707174871,0.4260019864590555,0.3201801160763159,7.80570799969655,1.0069148646734651,0.33911104913756246,0.0,672,384,2,1,5,10849,1024,lee_ocil/ETT-small/ETTm1.csv
ETTm2,24,0.228672147176661,0.016659330747350966,0.7172741363340768,14.782296741023293,3.4335858139209683,0.2729440063091625,0.05747128224827462,10.721755589814304,0.217872258394489,0.8280068583659933,0.21626266727663263,-1.0149925775964088,0.3111857716869076,-0.038773766634233243,0.8782870569329123,0.5100625985683602,0.3213699705555776,0.010726708828685181,-3.7972275646326055,0.613867381483066,0.05818903828376477,0.020415279958615692,0.6227941553894857,0.020415279958615692,0.03265865040961971,12348954.379189739,7.631780914912577,10.251536601714003,0.8642053596236916,0.17094486874220005,0.7739253422844724,0.9386538553936737,0.9627398565974339,0.008391314463531963,0.0038188158921548115,0.01609035127190154,0.020546080808152498,0.019333627545102167,0.7541800606551484,1.5745683614453965,2.0774379251300377,0.014857700892857142,0.8205934141644075,0.049150676298205964,1.1846936917800799,2.029953488441535,0.0008079892113095238,1.86588680061449,0.5237398206821746,0.6148743219626969,0.2871204226413564,0.0006957435584833305,8.127278642446967,0.051128571886727064,0.0032581147693452384,2.9633081175124456,0.2995911651244664,0.3355937128004367,6.582213681768856,0.6832707099592801,1.70967761424965,0.00027901785714285724,672,96,2,1,5,11497,1024,lee_ocil/ETT-small/ETTm2.csv
ETTm2,48,0.23073853153063675,0.017090544686850506,0.7075129902824956,14.48165136941537,3.3872940731766787,0.2730121823346643,0.05637226116323652,10.591111356312464,0.21476034023040222,0.822073836501366,0.21119162224813462,-1.0104277743215269,0.307567651861781,-0.05553756406287287,0.8818266948695374,0.5044775480609025,0.32087147703130453,-0.002410288354964723,-3.6903085956741397,0.6154107968990994,0.05934335896938436,0.020259465013968213,0.6146628922174308,0.020259465013968213,0.03131425268479308,12837330.763157008,7.509641251754794,10.09507661018315,0.858975875741779,0.1734969433862362,0.7713108380318867,0.937153998682327,0.9621280542879399,0.008782322675840518,0.003987208672062755,0.016273558194610245,0.021015440652011823,0.02015457905163668,0.7511184324975537,2871275.3913197434,1990065.711678171,0.03125,1.7435441719782845,0.06401747674766482,2.76342010244113,1.7597023973712014,0.00079345703125,1.97886775558718,0.9197554369456582,0.9684878885651396,0.19721214011580745,0.005327163176720748,1.9635416662575962,0.12221921842448141,0.001424153645833333,4.261178806874746,0.3757688363518741,0.3864366679087077,6.315677557163404,0.7442032707647903,1.764840967053662,0.0629185267857143,96,48,2,1,5,11473,1024,lee_ocil/ETT-small/ETTm2.csv
ETTm2,96,0.2308952401867898,0.017086036270034667,0.7174341498235111,14.65764708364979,3.435079433577636,0.2743924284021507,0.05747605970188631,10.730368098336184,0.21772822338505335,0.8281246735126236,0.21396957665037106,-1.0130957263446294,0.3110595862463923,-0.04178262467020624,0.8753220153478063,0.5098233391683462,0.3213329350133114,0.010654696479146122,-3.777156098092411,0.6142179289911343,0.058394937786493496,0.020397788782678283,0.6219467017462887,0.020397788782678283,0.03251733271910624,12474058.370908273,7.6214193383348325,10.243643992108902,0.8635813672898038,0.1715679380212237,0.7731810479501274,0.9379006962492636,0.962351950410418,0.008552607476061505,0.0038875646518160612,0.016161895817230168,0.020672933709080292,0.0197292502855952,0.7529038078017333,1.5628222395512084,2.1369272296457655,0.018694559733072914,0.8149551468758425,0.05232245130797798,1.2501284626185694,1.9642981672322004,0.0007273356119791666,1.9015936377088478,0.60748710178731,0.7222138095469821,0.26280495129299136,0.0010330101450466928,1.5061197915097795,0.07867006813925176,0.001378377278645833,3.798174078914024,0.8562463177079809,0.3325201701006618,6.467637778458053,0.6996387522104323,1.7818040013859027,0.006417410714285716,384,384,2,1,5,11425,1024,lee_ocil/ETT-small/ETTm2.csv
ETTm2,288,0.22512881092978873,0.01607420094035207,0.7178782275660927,14.823344346084118,3.432435762884543,0.27317630624709305,0.057445225577447745,10.718272990448375,0.21825444762769453,0.8286269437638955,0.2161086573082276,-1.014195514186694,0.3115833685959493,-0.038048440768897504,0.8771892640344774,0.5107537465686465,0.32129578466259645,0.0032894456735714102,-3.8198070151701784,0.61222929621917,0.05793669354221906,0.020490344975765705,0.6245713037108784,0.020490344975765705,0.03230237973639693,12238005.697646393,7.6539954512603,10.266138259542464,0.8656087964060484,0.17004987132198426,0.7738768987084989,0.9387262647358274,0.9623856530364223,0.008230554650978158,0.003745049323195592,0.016014261386636586,0.020354349297854114,0.01895748591331432,0.7541763896491657,1.5656513745025435,2.0810834056877434,0.014097667875744048,0.8207153280904488,0.04927619176508177,1.1920813847631684,2.023735800059919,0.000831240699404762,1.8635376005974462,0.5260979638004517,0.6179152793733864,0.28527404542584256,0.0006950672987881862,0.6850314669901031,0.0508711417057669,0.0032290504092261905,2.9189738413597324,0.2973235374573328,0.33650978656452407,6.603717434663394,0.6862650618666513,1.691989293397677,0.00027901785714285724,672,288,2,1,5,11233,1024,lee_ocil/ETT-small/ETTm2.csv
ETTm2,672,0.21630398460701472,0.015247419528529628,0.7130615184734803,14.906872327929221,3.401197720608575,0.27025011426516343,0.056371227216875486,10.624111276239,0.21700347187365354,0.8258686185985061,0.21756063163600778,-1.0104526702430907,0.31020855659758423,-0.043130081379021995,0.8753887177842445,0.5090556235752245,0.32147207378550463,-0.028685361028805464,-3.790263265696647,0.6107007457099419,0.058299614855517545,0.02049376367455595,0.623090055354008,0.02049376367455595,0.031173882489429337,12316291.457066612,7.6385836095391335,10.190018238450534,0.864262269195072,0.16993809322671646,0.772755233269339,0.9382123638956965,0.9616584504955413,0.008110037966206038,0.003685286079687139,0.015955089548753475,0.020225005921121694,0.018600089075883255,0.7534631113867492,1.5651341296767503,2.0841311590436646,0.014426095145089286,0.8182393142511079,0.04923211917312416,1.1989352408140794,2.0240284266621567,0.0008603050595238096,1.8589487085611942,0.5233203416393615,0.6157275616296348,0.2848725347155908,0.0007018912152108682,0.2984095982098451,0.05114308321301722,0.0032145182291666665,2.9395591240072876,0.29684827525501395,0.3357424757798193,6.59417498754763,0.689504683897809,1.6973309135616068,0.00027901785714285724,672,384,2,1,5,10849,1024,lee_ocil/ETT-small/ETTm2.csv
