target,feature,feature_group,n,spearman,pearson,abs_spearman
gain_swish_all_vs_gelu,router_multivar_channel_heterogeneity_cv,multivar,36,-0.5346203346203346,-0.5545294811182004,0.5346203346203346
gain_tanh_all_outtanh_vs_gelu,router_time_near_zero_fraction,time,36,-0.5335907335907336,-0.34271527425195447,0.5335907335907336
gain_enc_gelu_dec_tanh_vs_gelu,router_multivar_channel_heterogeneity_cv,multivar,36,-0.5323037323037323,-0.4429610210939153,0.5323037323037323
gain_best_bounded_vs_gelu,router_time_iqr_mad_ratio,time,36,-0.5310167310167311,-0.4047970760653462,0.5310167310167311
gain_tanh_all_vs_gelu,input_max_abs_change,input,36,-0.527927927927928,-0.3670456056009369,0.527927927927928
gain_tanh_sin001_all_vs_gelu,input_direction_entropy,input,36,-0.5266409266409267,-0.2891168113363353,0.5266409266409267
static_gain_vs_gelu,input_direction_entropy,input,36,-0.5266409266409267,-0.2891168113363353,0.5266409266409267
gain_tanh_sin001_all_vs_gelu,input_max_abs_change,input,36,-0.5256113256113256,-0.3481755831515126,0.5256113256113256
static_gain_vs_gelu,input_max_abs_change,input,36,-0.5256113256113256,-0.3481755831515126,0.5256113256113256
gain_softsign_all_vs_gelu,input_max_abs_change,input,36,-0.5238095238095238,-0.3474582216715173,0.5238095238095238
gain_tanh_all_outtanh_vs_gelu,input_realized_volatility,input,36,-0.5238095238095238,-0.4172394064540365,0.5238095238095238
gain_softsign_all_vs_gelu,router_time_outlier_mass_z3,time,36,-0.5230373230373231,-0.5260481819177046,0.5230373230373231
gain_outtanh_vs_tanh,input_range,input,36,-0.5212355212355213,-0.38780664201158144,0.5212355212355213
gain_softsign_all_vs_gelu,router_time_iqr_mad_ratio,time,36,-0.5202059202059203,-0.37233921124437963,0.5202059202059203
gain_outtanh_vs_tanh,input_max_drawdown,input,36,-0.5184041184041185,-0.383758131094888,0.5184041184041185
gain_tanh_all_vs_gelu,router_timefreq_burstiness_index,timefreq,36,-0.5181467181467182,-0.49487387576007064,0.5181467181467182
gain_tanh_all_outtanh_vs_gelu,input_upside_volatility,input,36,-0.5176319176319176,-0.37491928294417265,0.5176319176319176
gain_best_bounded_vs_gelu,input_downside_volatility,input,36,-0.5142857142857143,-0.4062848238180322,0.5142857142857143
gain_tanh_all_outtanh_vs_gelu,input_skewness,input,36,-0.5083655083655083,-0.4831808899851819,0.5083655083655083
gain_tanh_sin001_all_vs_gelu,router_time_iqr_mad_ratio,time,36,-0.5068211068211068,-0.3838402410710996,0.5068211068211068
static_gain_vs_gelu,router_time_iqr_mad_ratio,time,36,-0.5068211068211068,-0.3838402410710996,0.5068211068211068
gain_outtanh_vs_tanh,input_max_drawup,input,36,-0.5052767052767053,-0.3879662765995179,0.5052767052767053
gain_best_bounded_vs_gelu,router_time_dynamic_range_log,time,36,-0.5011583011583012,-0.18207171733569116,0.5011583011583012
gain_swish_all_vs_gelu,router_multivar_target_channel_dominance,multivar,36,0.5011583011583012,0.5342419258825714,0.5011583011583012
gain_outtanh_vs_tanh,input_std,input,36,-0.4996138996138996,-0.39748814184016285,0.4996138996138996
gain_swish_all_vs_gelu,input_direction_entropy,input,36,-0.4972972972972973,-0.3113062402541913,0.4972972972972973
gain_tanh_all_outtanh_vs_gelu,router_norm_normalization_drift_score,norm,36,0.48906048906048916,0.4876842020218348,0.48906048906048916
oracle_gain_vs_gelu,input_downside_volatility,input,36,-0.48870583793842187,-0.39614451159430175,0.48870583793842187
gain_best_bounded_vs_gelu,router_multivar_cross_channel_mean_abs_corr,multivar,36,-0.4880308880308881,-0.5333480369906256,0.4880308880308881
gain_outtanh_vs_tanh,input_turbulence_score,input,36,-0.48674388674388674,-0.4092207821416699,0.48674388674388674
gain_tanh_sin001_all_vs_gelu,router_time_outlier_mass_z3,time,36,-0.4857142857142857,-0.5255456218987754,0.4857142857142857
static_gain_vs_gelu,router_time_outlier_mass_z3,time,36,-0.4857142857142857,-0.5255456218987754,0.4857142857142857
gain_tanh_all_vs_gelu,router_time_outlier_mass_z3,time,36,-0.48519948519948525,-0.5384566595545242,0.48519948519948525
gain_swish_all_vs_gelu,input_trend,input,36,0.48339768339768346,0.4765198033511834,0.48339768339768346
oracle_gain_vs_gelu,router_time_robust_scale_ratio,time,36,-0.47918141549769416,-0.3762168179611004,0.47918141549769416
gain_tanh_all_vs_gelu,router_time_iqr_mad_ratio,time,36,-0.4777348777348777,-0.39718343738699974,0.4777348777348777
gain_outtanh_vs_tanh,input_downside_volatility,input,36,-0.47541827541827547,-0.27686467739287685,0.47541827541827547
gain_tanh_all_vs_gelu,input_trend_consistency,input,36,0.47438867438867444,0.6933022134529703,0.47438867438867444
gain_outtanh_vs_tanh,input_volatility_ratio_late_early,input,36,-0.4741312741312742,-0.2044953337800161,0.4741312741312742
