dataset,pred_len,best_config,best_mse,baseline_mse,model,baseline_config,best_gain_vs_baseline,non_baseline_best,input_cv,input_spectral_entropy,input_dominant_frequency_energy_ratio,router_multivar_channel_heterogeneity_cv,router_timefreq_burstiness_index,router_freq_seasonal_peak_strength
ETTm1,96,tanh_sin001_all,0.5593670199999999,0.6162993133333333,Informer,gelu_all,0.09237766796365199,True,1.3139111779638415,0.375522630084133,0.597482807805265,1.0147470076656713,3.7138361290608666,0.2667830465486566
ETTm1,288,tanh_all,0.8019380233333333,0.8856588200000001,Informer,gelu_all,0.0945293997824882,True,1.33060227482584,0.374203938323992,0.5985508535753782,1.013140686480108,3.041977510148102,0.1649504742596671
ETTm1,672,softsign_all,0.92203278,1.002575233333333,Informer,gelu_all,0.08033557049434373,True,1.369260955137408,0.37359104198392,0.5986126866405632,1.0069148646734651,3.021386707174871,0.1677325865012072
ETTm2,24,tanh_all,0.6846686166666666,1.2393198333333333,Informer,gelu_all,0.44754485625784796,True,0.2729440063091625,0.1709448687422,0.7739253422844724,0.6832707099592801,2.9633081175124456,0.5237398206821746
ETTm2,48,softsign_all,0.30922799,0.39631575,Informer,gelu_all,0.21974337381242107,True,0.2730121823346643,0.1734969433862362,0.7713108380318867,0.7442032707647903,4.261178806874746,0.9197554369456582
ETTm2,96,tanh_sin001_all,1.3350371,1.6045523666666668,Informer,gelu_all,0.16796913099605704,True,0.2743924284021507,0.1715679380212237,0.7731810479501274,0.6996387522104323,3.798174078914024,0.60748710178731
ETTm2,288,tanh_all_outtanh,2.3545683,5.329461733333333,Informer,gelu_all,0.5581977284360149,True,0.273176306247093,0.1700498713219842,0.7738768987084989,0.6862650618666513,2.9189738413597324,0.5260979638004517
ETTm2,672,tanh_all_outtanh,2.8509023666666664,7.812617166666667,Informer,gelu_all,0.6350899697440271,True,0.2702501142651634,0.1699380932267164,0.772755233269339,0.689504683897809,2.9395591240072876,0.5233203416393615
Solar1,24,swish_all,0.1504306033333333,0.15319326,Informer,gelu_all,0.018033800355620713,True,1.4227709469303973,0.2402276765791593,0.700621085457942,1.2733413864088423,6.895790491521848,0.9000552124412137
Solar1,96,softsign_all,0.2238896466666666,0.2299245,Informer,gelu_all,0.026247108652333245,True,1.4215041586375028,0.2400119560557772,0.7012279803259207,1.273417772501647,6.892632939150374,0.9005062467202055
Solar2,24,tanh_all,0.0660672966666666,0.07067754,Informer,gelu_all,0.06522925576262845,True,1.4172322277144644,0.2488085293665955,0.6915426619001871,0.9587743710202404,7.322451057284336,0.8896223979217948
Solar2,96,tanh_all,0.1079668713333333,0.121002457,Informer,gelu_all,0.10772992540694191,True,1.4163526277879264,0.2487080822394644,0.691947244335985,0.9580012582571306,7.301330587817224,0.8897272545999592
Solar3,24,gelu_all,0.19754754,0.19754754,Informer,gelu_all,0.0,False,1.2779406234354205,0.2454204341797022,0.7559023166487654,1.1351385299815258,5.210861301242831,0.8981271319641275
Solar3,96,gelu_all,0.3490070666666667,0.3490070666666667,Informer,gelu_all,0.0,False,1.277224582008971,0.2450720029229193,0.7563334723203164,1.1353978344818536,5.224818723950721,0.8976305022824516
Solar4,24,tanh_sin001_all,0.2198203,0.22417717,Informer,gelu_all,0.019434940676608652,True,1.4914306476525394,0.2844183498028588,0.6597953135805436,1.1275987956316214,8.485185079433327,0.8720640184867876
Solar4,96,enc_tanh_dec_gelu,0.2904489733333333,0.2962589366666666,Informer,gelu_all,0.019611098988957465,True,1.491206880635456,0.2847336555096029,0.6598187667374994,1.127623413139052,8.440132246516697,0.8709348928745965
Solar5,24,swish_all,0.1086942266666666,0.11345904,Informer,gelu_all,0.04199588973547983,True,1.544738475085553,0.2945392214602934,0.656662242242822,0.9679583885881692,10.508825249607938,0.8654627288217132
Solar5,96,enc_tanh_dec_gelu,0.1803903966666666,0.1952658699999999,Informer,gelu_all,0.07618061125240838,True,1.5450075919647293,0.2949505906785371,0.6565514288628399,0.9680745743822118,10.468334576014664,0.8644700061547301
Solar6,24,tanh_sin001_all,0.2647689099999999,0.2678011566666666,Informer,gelu_all,0.011322754182279111,True,1.4166637209854696,0.2528266684973221,0.6901682065683751,1.1735486285614445,7.1512287730229795,0.8965793180971976
Solar6,96,tanh_sin001_all,0.35758402,0.3658587066666667,Informer,gelu_all,0.022617164812222854,True,1.4165148317883192,0.2527304393278895,0.6902824047402724,1.1742510631659848,7.149192185868454,0.8969198976823741
Solar7,24,relu_all,3.280724533333333,3.861249133333333,Informer,gelu_all,0.1503463205698012,True,1.3179178414030557,0.2743570248977778,0.6053504924257012,1.1609701737552256,7.700296296152514,0.7702825742500835
Solar7,96,enc_tanh_dec_gelu,4.969628033333334,7.969580333333333,Informer,gelu_all,0.37642537932047526,True,1.3175438010921263,0.2748327579796129,0.6046703369466305,1.1606792586392185,7.696945487496126,0.7697632230173246
Solar8,24,tanh_sin001_all,0.21601371,0.2176429366666666,Informer,gelu_all,0.007485777813969926,True,1.367746251263197,0.1905673030543229,0.7446732608065,1.1104166481908615,6.137244734558299,0.9550067906731876
Solar8,96,softsign_all,0.30559342,0.31376261,Informer,gelu_all,0.02603621253660528,True,1.3672782287697696,0.1903853445333861,0.744946544079731,1.1102044256071504,6.126703792122207,0.9549668015076438
ETTh2,168,gelu_ffn_linear,0.3258797923723855,0.3258797923723855,PatchTST,gelu_ffn_linear,0.0,False,0.2569226703591692,0.2528651461941329,0.7727607716069,0.6650913410058861,2.1935709294758867,0.4354554671579251
ETTh2,336,gelu_ffn_linear,0.3284500340620677,0.3284500340620677,PatchTST,gelu_ffn_linear,0.0,False,0.2384534101455233,0.2555520393009191,0.7732766459177887,0.6643877639350042,2.242864170320537,0.4309676699226939
ETTh2,720,softsign_ffn_linear,0.3783149619897206,0.3808809022108714,PatchTST,gelu_ffn_linear,0.00673685712845271,True,0.2085925864899145,0.2491514573929363,0.784393498403086,0.6678131303189667,1.933168450771093,0.3722033897904349
ETTm2,96,gelu_ffn_linear,0.1655888458093007,0.1655888458093007,PatchTST,gelu_ffn_linear,0.0,False,0.2743924284021507,0.1715679380212237,0.7731810479501274,0.6996387522104323,3.798174078914024,0.60748710178731
ETTm2,288,gelu_ffn_linear,0.2627387841542561,0.2627387841542561,PatchTST,gelu_ffn_linear,0.0,False,0.273176306247093,0.1700498713219842,0.7738768987084989,0.6862650618666513,2.9189738413597324,0.5260979638004517
ETTm2,672,gelu_ffn_linear,0.3552324970563252,0.3552324970563252,PatchTST,gelu_ffn_linear,0.0,False,0.2702501142651634,0.1699380932267164,0.772755233269339,0.689504683897809,2.9395591240072876,0.5233203416393615
Solar2,24,tanh_sin001_ffn_linear,0.0651733204722403,0.0654503032565115,PatchTST,gelu_ffn_linear,0.004231955705165388,True,1.4172322277144644,0.2488085293665955,0.6915426619001871,0.9587743710202404,7.322451057284336,0.8896223979217948
Solar2,96,softsign_ffn_linear,0.0985503618915875,0.0996658479173978,PatchTST,gelu_ffn_linear,0.011192259426065412,True,1.4163526277879264,0.2487080822394644,0.691947244335985,0.9580012582571306,7.301330587817224,0.8897272545999592
Solar3,24,gelu_ffn_linear,0.2790345549583435,0.2790345549583435,PatchTST,gelu_ffn_linear,0.0,False,1.2779406234354205,0.2454204341797022,0.7559023166487654,1.1351385299815258,5.210861301242831,0.8981271319641275
