feature,inner_mean_gain_vs_static,inner_positive_vs_static_rate,inner_mean_regret_vs_oracle,inner_top1_hit_rate,outer_mode,outer_fold
router_multivar_channel_heterogeneity_cv,-0.009730494489232175,0.2857142857142857,0.05817473320336028,0.2,loco,"('ETTh1', 168)"
router_time_near_zero_fraction,-0.009880614197835265,0.3142857142857143,0.05832915231050076,0.22857142857142856,loco,"('ETTh1', 168)"
router_multivar_target_channel_dominance,-0.01283565854445735,0.2,0.061346248300508714,0.14285714285714285,loco,"('ETTh1', 168)"
router_freq_dominant_period_to_horizon_ratio,-0.021655792913741694,0.14285714285714285,0.07072768547109752,0.14285714285714285,loco,"('ETTh1', 168)"
input_cv,-0.024479050398749758,0.17142857142857143,0.07304257383195911,0.11428571428571428,loco,"('ETTh1', 168)"
router_time_iqr_mad_ratio,-0.028034121717749674,0.11428571428571428,0.0789979255337979,0.14285714285714285,loco,"('ETTh1', 168)"
router_time_robust_scale_ratio,-0.03233412546226318,0.17142857142857143,0.08135634961473849,0.14285714285714285,loco,"('ETTh1', 168)"
router_timefreq_burstiness_index,-0.03527199595617752,0.14285714285714285,0.08632173386506736,0.11428571428571428,loco,"('ETTh1', 168)"
router_timefreq_rolling_spectral_entropy_std,-0.041720620799372325,0.2571428571428571,0.09304948597379285,0.2,loco,"('ETTh1', 168)"
router_freq_harmonic_energy_ratio,-0.05489582593837156,0.11428571428571428,0.10734286229031885,0.2,loco,"('ETTh1', 168)"
router_freq_seasonal_peak_strength,-0.05532657400124908,0.2,0.10774687255124689,0.14285714285714285,loco,"('ETTh1', 168)"
router_multivar_cross_channel_mean_abs_corr,-0.05835621189152792,0.05714285714285714,0.1108549642108372,0.17142857142857143,loco,"('ETTh1', 168)"
router_time_outlier_mass_z3,-0.06128113330498197,0.02857142857142857,0.11380298440949566,0.17142857142857143,loco,"('ETTh1', 168)"
input_volatility_ratio_late_early,-0.005605390442890872,0.2857142857142857,0.05397213320543945,0.22857142857142856,loco,"('ETTh1', 336)"
router_multivar_target_channel_dominance,-0.008529773513436638,0.2857142857142857,0.056826718572063124,0.22857142857142856,loco,"('ETTh1', 336)"
router_time_late_early_level_shift,-0.00982155330134906,0.22857142857142856,0.05833894575861709,0.14285714285714285,loco,"('ETTh1', 336)"
router_multivar_channel_heterogeneity_cv,-0.012427766444410264,0.22857142857142856,0.060879998001218294,0.11428571428571428,loco,"('ETTh1', 336)"
router_time_near_zero_fraction,-0.013223762201825648,0.22857142857142856,0.06171028113202297,0.17142857142857143,loco,"('ETTh1', 336)"
router_freq_dominant_period_to_horizon_ratio,-0.021655792913741694,0.14285714285714285,0.07071554747345453,0.14285714285714285,loco,"('ETTh1', 336)"
input_cv,-0.024313008969599835,0.17142857142857143,0.07286152616316095,0.11428571428571428,loco,"('ETTh1', 336)"
router_time_iqr_mad_ratio,-0.028034121717749674,0.11428571428571428,0.0789857875361549,0.14285714285714285,loco,"('ETTh1', 336)"
router_timefreq_burstiness_index,-0.029216001277249826,0.14285714285714285,0.08015847518292783,0.11428571428571428,loco,"('ETTh1', 336)"
