dataset,pred_len,features,target,activation,encoder_activation,decoder_activation,output_activation,activation_signature,activation_family,amplitude,lee_type,baseline_activation,baseline_activation_signature,factor,factor_bin,sample_count,seed_count,baseline_target_mse_mean,activation_target_mse_mean,target_mse_delta_mean,aggregate_relative_target_mse_change,relative_target_mse_change_mean,target_win_rate,baseline_all_mse_mean,activation_all_mse_mean,all_mse_delta_mean,aggregate_relative_all_mse_change,relative_all_mse_change_mean,all_win_rate
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,low,14739,3,0.21522714,0.1988538,0.016373336,0.07607468,-0.1519218673720653,0.565099396159848,0.22183406,0.21008557,0.011748493,0.052960724,-0.07619719594108303,0.5210665581111338
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,mid,18660,3,0.20571877,0.18468115,0.021037623,0.102263995,-0.1757912451333403,0.5740621650589496,0.26102138,0.25620562,0.0048157573,0.018449666,-0.0875830554205783,0.5195069667738478
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,high,8361,3,0.12459385,0.12616365,-0.0015698001,-0.012599339,-0.3874289801418193,0.4506637961966272,0.17478497,0.18062052,-0.005835548,-0.033387013,-0.16545444167369458,0.4241119483315393
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,low,14739,3,0.1988538,0.20592608,-0.00707227,-0.03556517,-0.22210502868717,0.4942669109166158,0.21008557,0.20923635,0.0008492172,0.004042244,-0.07198135515030714,0.5005767012687428
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,mid,18660,3,0.18468115,0.19587219,-0.01119104,-0.060596548,-0.32909945769627663,0.4489817792068596,0.25620562,0.26682952,-0.010623902,-0.04146631,-0.15206775452583568,0.4592711682743837
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,high,8361,3,0.12616365,0.1139891,0.012174547,0.09649806,-0.029257584049469185,0.5907188135390503,0.18062052,0.18044095,0.0001795739,0.0009942054,-0.055787860768748976,0.49970099270422197
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,low,13112,3,0.3024106,0.24344261,0.058967993,0.19499314,-0.30246447372621127,0.5976205003050641,0.19707601,0.17304146,0.024034545,0.121955715,-0.07248601104313533,0.5776388041488713
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,mid,9195,3,0.3202766,0.2861082,0.034168392,0.106684014,-0.14704685795349642,0.5578031538879826,0.24432985,0.22597367,0.01835619,0.07512872,-0.046159006190438015,0.5443175638934203
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,high,19453,3,0.24843393,0.23873958,0.009694353,0.039021853,-0.37011492356646686,0.5074281601809489,0.17085432,0.16379763,0.0070566833,0.041302342,-0.15009450185132125,0.5078394078034236
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,low,13112,3,0.3024106,0.26756382,0.034846783,0.11523003,-0.6027992804435001,0.5784014643075046,0.19707601,0.18070744,0.016368568,0.083057135,-0.1482426939684884,0.5819097010372178
