feature_set,action_name,action_family,feature,direction,threshold,objective,fired_count,fired_rate,precision,mean_uplift_if_fired,policy_mean_uplift
frequency,placement_output_tanh_matched,placement,router_freq_dominant_period_to_horizon_ratio,low,0.6868177801769049,0.013709212469259982,7,0.19444444444444445,0.8571428571428571,0.0705045212704799,0.013709212469259982
frequency,placement_output_tanh_vs_best_linear,placement,router_freq_dominant_period_to_horizon_ratio,low,0.3572653149722449,0.006682293094731872,4,0.1111111111111111,1.0,0.06014063785258685,0.006682293094731872
frequency,regime_best_bounded_vs_default,regime,input_spectral_flatness,high,0.015618942129731622,0.14773550393990442,32,0.8888888888888888,0.90625,0.16620244193239248,0.14773550393990442
frequency,regime_softsign_vs_default,regime,input_spectral_flatness,high,0.015618942129731622,0.11578940481180983,32,0.8888888888888888,0.8125,0.13026308041328605,0.11578940481180983
frequency,regime_tanh_sin_vs_default,regime,input_spectral_flatness,high,0.015618942129731622,0.12315750868522428,32,0.8888888888888888,0.84375,0.1385521972708773,0.12315750868522428
frequency,regime_tanh_vs_default,regime,input_spectral_flatness,high,0.015618942129731622,0.12518153946117744,32,0.8888888888888888,0.875,0.14082923189382462,0.12518153946117744
statistical,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2853205664896136,0.06738602564323354,27,0.75,0.7777777777777778,0.08984803419097805,0.06738602564323354
statistical,placement_decoder_tanh_vs_default,placement,input_range,low,10.728410710035757,0.029181508267665517,19,0.5277777777777778,0.7368421052631579,0.05529127882294519,0.029181508267665517
statistical,placement_encoder_tanh_vs_default,placement,input_anomaly_density_intensity,low,0.05190274578985654,0.0593412794279761,27,0.75,0.7407407407407407,0.07912170590396812,0.0593412794279761
statistical,placement_output_tanh_matched,placement,input_anomaly_density_intensity,low,0.016366765843851515,0.010862710886809727,4,0.1111111111111111,1.0,0.09776439798128755,0.010862710886809727
statistical,placement_output_tanh_vs_best_linear,placement,input_cv,low,0.27159706028716296,0.005631157175008677,4,0.1111111111111111,0.75,0.050680414575078096,0.005631157175008677
statistical,regime_best_bounded_vs_default,regime,input_volatility,low,1.4324316245765012,0.1467948443496311,32,0.8888888888888888,0.875,0.16514419989333504,0.1467948443496311
statistical,regime_softsign_vs_default,regime,input_turbulence_score,low,0.9427689230132402,0.12201801566184702,27,0.75,0.8888888888888888,0.16269068754912938,0.12201801566184702
statistical,regime_tanh_sin_vs_default,regime,input_volatility,low,1.3639714174348017,0.12531031419886832,27,0.75,0.8518518518518519,0.16708041893182438,0.12531031419886832
statistical,regime_tanh_vs_default,regime,input_volatility,low,1.4324316245765012,0.124293958985303,32,0.8888888888888888,0.875,0.13983070385846585,0.124293958985303
all_input,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2853205664896136,0.06738602564323354,27,0.75,0.7777777777777778,0.08984803419097805,0.06738602564323354
all_input,placement_decoder_tanh_vs_default,placement,input_range,low,10.728410710035757,0.029181508267665517,19,0.5277777777777778,0.7368421052631579,0.05529127882294519,0.029181508267665517
all_input,placement_encoder_tanh_vs_default,placement,input_anomaly_density_intensity,low,0.05190274578985654,0.0593412794279761,27,0.75,0.7407407407407407,0.07912170590396812,0.0593412794279761
all_input,placement_output_tanh_matched,placement,input_anomaly_density_intensity,low,0.016366765843851515,0.010862710886809727,4,0.1111111111111111,1.0,0.09776439798128755,0.010862710886809727
all_input,placement_output_tanh_vs_best_linear,placement,input_cv,low,0.27159706028716296,0.005631157175008677,4,0.1111111111111111,0.75,0.050680414575078096,0.005631157175008677
all_input,regime_best_bounded_vs_default,regime,input_volatility,low,1.4324316245765012,0.1467948443496311,32,0.8888888888888888,0.875,0.16514419989333504,0.1467948443496311
all_input,regime_softsign_vs_default,regime,input_turbulence_score,low,0.9427689230132402,0.12201801566184702,27,0.75,0.8888888888888888,0.16269068754912938,0.12201801566184702
all_input,regime_tanh_sin_vs_default,regime,input_volatility,low,1.3639714174348017,0.12531031419886832,27,0.75,0.8518518518518519,0.16708041893182438,0.12531031419886832
all_input,regime_tanh_vs_default,regime,input_volatility,low,1.4324316245765012,0.124293958985303,32,0.8888888888888888,0.875,0.13983070385846585,0.124293958985303
topology,placement_all_tanh_vs_best_split,placement,pred_len,high,24.0,0.05540683060599175,36,1.0,0.6111111111111112,0.05540683060599175,0.05540683060599175
topology,placement_decoder_tanh_vs_default,placement,pred_to_seq_ratio,high,0.27435064935064973,0.026201661858801947,24,0.6666666666666666,0.625,0.03930249278820292,0.026201661858801947
topology,placement_encoder_tanh_vs_default,placement,pred_to_seq_ratio,low,1.0,0.05897177875401124,34,0.9444444444444444,0.7352941176470589,0.0624407069160119,0.05897177875401124
topology,placement_output_tanh_matched,placement,pred_len,high,288.0,0.009920419558707254,8,0.2222222222222222,0.625,0.044641888014182646,0.009920419558707254
topology,placement_output_tanh_vs_best_linear,placement,pred_len,high,504.0,0.0009494748649011448,4,0.1111111111111111,0.75,0.008545273784110304,0.0009494748649011448
topology,regime_best_bounded_vs_default,regime,pred_len,high,24.0,0.14919434383022498,36,1.0,0.8888888888888888,0.14919434383022498,0.14919434383022498
topology,regime_softsign_vs_default,regime,pred_len,high,24.0,0.11680805586044969,36,1.0,0.7777777777777778,0.11680805586044969,0.11680805586044969
topology,regime_tanh_sin_vs_default,regime,pred_len,high,24.0,0.12367701458839145,36,1.0,0.8333333333333334,0.12367701458839145,0.12367701458839145
topology,regime_tanh_vs_default,regime,pred_len,high,24.0,0.12552027723581907,36,1.0,0.8611111111111112,0.12552027723581907,0.12552027723581907
all_with_topology,placement_all_tanh_vs_best_split,placement,input_kurtosis,low,-0.2853205664896136,0.06738602564323354,27,0.75,0.7777777777777778,0.08984803419097805,0.06738602564323354
all_with_topology,placement_decoder_tanh_vs_default,placement,input_range,low,10.728410710035757,0.029181508267665517,19,0.5277777777777778,0.7368421052631579,0.05529127882294519,0.029181508267665517
all_with_topology,placement_encoder_tanh_vs_default,placement,input_anomaly_density_intensity,low,0.05190274578985654,0.0593412794279761,27,0.75,0.7407407407407407,0.07912170590396812,0.0593412794279761
all_with_topology,placement_output_tanh_matched,placement,input_anomaly_density_intensity,low,0.016366765843851515,0.010862710886809727,4,0.1111111111111111,1.0,0.09776439798128755,0.010862710886809727
all_with_topology,placement_output_tanh_vs_best_linear,placement,input_cv,low,0.27159706028716296,0.005631157175008677,4,0.1111111111111111,0.75,0.050680414575078096,0.005631157175008677
all_with_topology,regime_best_bounded_vs_default,regime,input_volatility,low,1.4324316245765012,0.1467948443496311,32,0.8888888888888888,0.875,0.16514419989333504,0.1467948443496311
all_with_topology,regime_softsign_vs_default,regime,input_turbulence_score,low,0.9427689230132402,0.12201801566184702,27,0.75,0.8888888888888888,0.16269068754912938,0.12201801566184702
all_with_topology,regime_tanh_sin_vs_default,regime,input_volatility,low,1.3639714174348017,0.12531031419886832,27,0.75,0.8518518518518519,0.16708041893182438,0.12531031419886832
all_with_topology,regime_tanh_vs_default,regime,input_volatility,low,1.4324316245765012,0.124293958985303,32,0.8888888888888888,0.875,0.13983070385846585,0.124293958985303
