setting,dataset,pred_len,activation,activation_family,amplitude,frequency,phase,lee_type,features,target,seed,server_id,server_ip,des,mse,mae,rmse,mape,mspe,relative_mse_change,win_against_baseline,run_id,encoder_activation,decoder_activation,output_activation,activation_signature,seq_len,label_len,d_model,n_heads,e_layers,d_layers,d_ff,factor,dropout,attn,embed,batch_size,train_epochs
informer_ETTh2_tanh_rand_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,5.6504602,2.1195056,2.3770697,11.101292,5876.959,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_rand_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,5.975324,2.1815615,2.4444475,11.483594,6235.4624,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,4.5826764,1.8861208,2.1407187,10.4857855,4497.6084,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_sin_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,4.4235053,1.8448455,2.103213,10.227942,4322.4463,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_sin_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,5.380192,2.0540617,2.319524,11.323075,5375.3267,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_cos_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_cos,cos_perturb,0.01,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,5.2288523,2.024859,2.2866683,10.861765,4886.8022,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_cos_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_cos,cos_perturb,0.1,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,4.7986455,1.9315786,2.190581,10.879871,4997.895,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_rand_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,4.600105,1.8895165,2.1447854,10.387577,4422.008,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_rand_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,5.860407,2.148737,2.4208276,12.295475,6292.268,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,4.5928254,1.8615242,2.1430879,9.14468,3472.9136,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
