feature_set,eval_name,fold,action_name,action_family,feature,direction,threshold,objective,fired_count,fired_rate,precision,mean_uplift_if_fired,policy_mean_uplift
all_input,leave_cell,Informer-fullgrid:ETTh1/48,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04375488562723726,31,0.8857142857142857,0.8064516129032258,0.049400677321074324,0.04375488562723726
all_input,leave_cell,Informer-fullgrid:ETTh1/168,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04476684115974716,31,0.8857142857142857,0.8064516129032258,0.050543207761004856,0.04476684115974716
all_input,leave_cell,Informer-fullgrid:ETTh1/336,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.044096456859724804,31,0.8857142857142857,0.8064516129032258,0.04978632226097962,0.044096456859724804
all_input,leave_cell,Informer-fullgrid:ETTh1/720,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04560710847319982,31,0.8857142857142857,0.8387096774193549,0.05149189666329012,0.04560710847319982
all_input,leave_cell,Informer-fullgrid:ETTh2/24,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04227452184984534,31,0.8857142857142857,0.8064516129032258,0.047729298862728614,0.04227452184984534
all_input,leave_cell,Informer-fullgrid:ETTh2/48,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.042631125173957285,31,0.8857142857142857,0.8064516129032258,0.048131915518984034,0.042631125173957285
all_input,leave_cell,Informer-fullgrid:ETTh2/168,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.0391310535925213,31,0.8857142857142857,0.8064516129032258,0.04418022179800792,0.0391310535925213
all_input,leave_cell,Informer-fullgrid:ETTh2/336,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.039242232279225193,31,0.8857142857142857,0.8064516129032258,0.044305746121705854,0.039242232279225193
all_input,leave_cell,Informer-fullgrid:ETTh2/720,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04266477109806472,31,0.8857142857142857,0.8064516129032258,0.04816990285265371,0.04266477109806472
all_input,leave_cell,Informer-fullgrid:ETTm1/24,regime_swish_vs_default,regime,input_trend_consistency,high,0.5192051485426783,0.04299558128119141,31,0.8857142857142857,0.8064516129032258,0.04854339822069996,0.04299558128119141
all_input,leave_cell,Informer-fullgrid:ETTm1/48,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04515400519862149,31,0.8857142857142857,0.8064516129032258,0.050980328450056525,0.04515400519862149
all_input,leave_cell,Informer-fullgrid:ETTm1/96,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.044875954806396896,31,0.8857142857142857,0.8064516129032258,0.05066640058786746,0.044875954806396896
all_input,leave_cell,Informer-fullgrid:ETTm1/288,regime_swish_vs_default,regime,input_mean,high,4.659186046311227,0.04323197330710482,31,0.8857142857142857,0.7741935483870968,0.04881029244350543,0.04323197330710482
all_input,leave_cell,Informer-fullgrid:ETTm1/672,regime_swish_vs_default,regime,input_mean,high,4.659186046311227,0.04635640197041441,31,0.8857142857142857,0.8064516129032258,0.05233787319240336,0.04635640197041441
all_input,leave_cell,Informer-fullgrid:ETTm2/24,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04864470133976223,31,0.8857142857142857,0.8387096774193549,0.054921436996505736,0.04864470133976223
all_input,leave_cell,Informer-fullgrid:ETTm2/48,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04626067982795234,31,0.8857142857142857,0.8387096774193549,0.05222979980575263,0.04626067982795234
all_input,leave_cell,Informer-fullgrid:ETTm2/96,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04374991935941289,31,0.8857142857142857,0.8064516129032258,0.049395070244498414,0.04374991935941289
all_input,leave_cell,Informer-fullgrid:ETTm2/288,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.03675091963456186,31,0.8857142857142857,0.8064516129032258,0.04149297378095693,0.03675091963456186
all_input,leave_cell,Informer-fullgrid:ETTm2/672,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04014805269290864,31,0.8857142857142857,0.8064516129032258,0.045328446588767814,0.04014805269290864
all_input,leave_cell,Informer-fullgrid:Solar1/24,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04494124564928559,31,0.8857142857142857,0.8064516129032258,0.05074011605564502,0.04494124564928559
all_input,leave_cell,Informer-fullgrid:Solar1/96,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04500687786000808,31,0.8857142857142857,0.8064516129032258,0.0508142169387188,0.04500687786000808
all_input,leave_cell,Informer-fullgrid:Solar2/24,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04402717388832718,31,0.8857142857142857,0.8064516129032258,0.049708099551337134,0.04402717388832718
all_input,leave_cell,Informer-fullgrid:Solar2/96,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04410967193734357,31,0.8857142857142857,0.8064516129032258,0.049801242509904024,0.04410967193734357
all_input,leave_cell,Informer-fullgrid:Solar3/24,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.0456975997516865,31,0.8857142857142857,0.8387096774193549,0.051594064235775075,0.0456975997516865
all_input,leave_cell,Informer-fullgrid:Solar3/96,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.046340114617170115,31,0.8857142857142857,0.8387096774193549,0.052319484245192054,0.046340114617170115
all_input,leave_cell,Informer-fullgrid:Solar4/24,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04493449031988862,31,0.8857142857142857,0.8064516129032258,0.05073248907084199,0.04493449031988862
all_input,leave_cell,Informer-fullgrid:Solar4/96,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04564758732520391,31,0.8857142857142857,0.8387096774193549,0.051537598592972154,0.04564758732520391
all_input,leave_cell,Informer-fullgrid:Solar5/24,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.04425661452414675,31,0.8857142857142857,0.8064516129032258,0.049967145430488275,0.04425661452414675
all_input,leave_cell,Informer-fullgrid:Solar5/96,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.045239556242916826,31,0.8857142857142857,0.8064516129032258,0.05107691833877706,0.045239556242916826
all_input,leave_cell,Informer-fullgrid:Solar6/24,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.045240323548925765,31,0.8857142857142857,0.8064516129032258,0.05107778465201296,0.045240323548925765
all_input,leave_cell,Informer-fullgrid:Solar6/96,regime_swish_vs_default,regime,input_trend_consistency,high,0.5191999651503845,0.045158674594263946,31,0.8857142857142857,0.8064516129032258,0.05098560034836253,0.045158674594263946
all_input,leave_cell,Informer-fullgrid:Solar7/24,regime_swish_vs_default,regime,input_anomaly_density_intensity,low,0.054644343404513136,0.047173829069221136,31,0.8857142857142857,0.8387096774193549,0.05326077475557225,0.047173829069221136
