dataset,pred_len,seq_len,patch_len,stride,e_layers,d_model,n_heads,d_ff,batch_size,train_epochs,seed,linear_mse,linear_mae,outtanh_mse,outtanh_mae,base_activation,output_tanh_gain,output_tanh_win
Solar3,96,96,16,8,3,128,8,256,128,20,2026,0.4451843202114105,0.4154898822307586,0.4863777756690979,0.4259832203388214,gelu,-0.09253123613636101,False
Solar5,96,96,16,8,3,128,8,256,128,20,2024,0.1762588918209076,0.2228520363569259,0.2050019055604934,0.2362672537565231,gelu,-0.16307270199333207,False
Solar5,96,96,16,8,3,128,8,256,128,20,2025,0.1761758029460907,0.22146637737751,0.2045569866895675,0.2360542714595794,gelu,-0.1610958103716512,False
Solar5,96,96,16,8,3,128,8,256,128,20,2026,0.1766643822193145,0.2220288217067718,0.2052624672651291,0.2367521375417709,gelu,-0.1618780463076728,False
ETTh2,336,336,16,8,3,16,4,128,128,20,2024,0.3328077495098114,0.3817491233348846,0.3394889831542969,0.3855921924114227,tanh,-0.02007535477862575,False
ETTh2,336,336,16,8,3,16,4,128,128,20,2025,0.3348958194255829,0.3830414414405823,0.3442534506320953,0.3886013329029083,tanh,-0.027941917049196706,False
ETTh2,336,336,16,8,3,16,4,128,128,20,2026,0.3318679630756378,0.3813750743865967,0.3384269475936889,0.3857076466083526,tanh,-0.019763837573427354,False
ETTh2,720,336,16,8,3,16,4,128,128,20,2024,0.3766057193279266,0.4167724549770355,0.3800530731678009,0.4190406799316406,tanh,-0.009153747972883455,False
ETTh2,720,336,16,8,3,16,4,128,128,20,2025,0.3788358867168426,0.418038934469223,0.382222980260849,0.4201197922229767,tanh,-0.008940793791634781,False
ETTh2,720,336,16,8,3,16,4,128,128,20,2026,0.3796843588352203,0.418846070766449,0.3823640942573547,0.4202401638031006,tanh,-0.007057797772747814,False
ETTm2,288,336,16,8,3,128,16,256,128,20,2024,0.2612475454807281,0.3189163208007812,0.2667351365089416,0.3229451179504394,tanh,-0.02100533047350033,False
ETTm2,288,336,16,8,3,128,16,256,128,20,2025,0.261881560087204,0.3202909231185913,0.2679049074649811,0.324852854013443,tanh,-0.02300027300803991,False
ETTm2,288,336,16,8,3,128,16,256,128,20,2026,0.2672422230243683,0.3215407431125641,0.2702262997627258,0.3236980438232422,tanh,-0.011166187380821884,False
ETTm2,672,336,16,8,3,128,16,256,128,20,2024,0.3593073785305023,0.3782338500022888,0.3623960018157959,0.3792531192302704,tanh,-0.008596047478694847,False
ETTm2,672,336,16,8,3,128,16,256,128,20,2025,0.3592987656593323,0.3782879412174225,0.3615551292896271,0.3803972005844116,tanh,-0.006279909217484377,False
ETTm2,672,336,16,8,3,128,16,256,128,20,2026,0.3582920730113983,0.3774398267269134,0.3613454103469848,0.3791247308254242,tanh,-0.008521922659141154,False
Solar3,96,96,16,8,3,128,8,256,128,20,2024,0.4502849876880646,0.4181248247623443,0.4955626428127289,0.4314562082290649,tanh,-0.10055333036337079,False
Solar3,96,96,16,8,3,128,8,256,128,20,2025,0.4533994197845459,0.4203450679779053,0.4960492849349975,0.4323900640010834,tanh,-0.09406687192215353,False
Solar3,96,96,16,8,3,128,8,256,128,20,2026,0.4506653249263763,0.4179311394691467,0.4898048341274261,0.4280861616134643,tanh,-0.08684828194280067,False
Solar5,96,96,16,8,3,128,8,256,128,20,2024,0.1764736324548721,0.2284979075193405,0.2039974182844162,0.2358430176973343,tanh,-0.1559654292070091,False
Solar5,96,96,16,8,3,128,8,256,128,20,2025,0.1726597845554351,0.2186966836452484,0.2039380818605423,0.2369109541177749,tanh,-0.18115566045470663,False
Solar5,96,96,16,8,3,128,8,256,128,20,2026,0.1759245246648788,0.2275038808584213,0.203999176621437,0.235610157251358,tanh,-0.15958350326674475,False
ETTh2,336,336,16,8,3,16,4,128,128,20,2024,0.3328277766704559,0.3817383944988251,0.3395236134529114,0.3856055736541748,tanh_sin001,-0.020118022748700077,False
ETTh2,336,336,16,8,3,16,4,128,128,20,2025,0.3349346816539764,0.383037805557251,0.3442866504192352,0.3885962963104248,tanh_sin001,-0.027921768862743154,False
ETTh2,336,336,16,8,3,16,4,128,128,20,2026,0.3319099545478821,0.3813953101634979,0.3384771049022674,0.3857372999191284,tanh_sin001,-0.01978593972371482,False
ETTh2,720,336,16,8,3,16,4,128,128,20,2024,0.3766026198863983,0.416758120059967,0.3800658285617828,0.4190440475940704,tanh_sin001,-0.009195922950374425,False
