target,feature,spearman,pearson,abs_spearman
oracle_gain_vs_baseline,router_timefreq_rolling_spectral_entropy_std,-0.19195543034138407,-0.3594650687968508,0.19195543034138407
static_regret_vs_oracle,input_cumulative_change,-0.1907753631041296,-0.13021217259174606,0.1907753631041296
static_regret_vs_oracle,input_spectral_bandwidth,0.19035204143440027,0.08933236264484143,0.19035204143440027
static_regret_vs_oracle,input_mean_reversion_strength,0.18889403989847656,0.05150111141072561,0.18889403989847656
static_regret_vs_oracle,input_low_freq_energy_ratio,-0.18120639543633352,-0.25102248978595815,0.18120639543633352
oracle_gain_vs_baseline,router_multivar_cross_channel_mean_abs_corr,-0.17830497612520535,-0.31168074646106864,0.17830497612520535
oracle_gain_vs_baseline,router_timefreq_burstiness_index,-0.17690074279674675,-0.2894409131488166,0.17690074279674675
static_regret_vs_oracle,router_freq_seasonal_peak_strength,-0.17537438929263877,-0.1102843947723944,0.17537438929263877
oracle_gain_vs_baseline,input_volatility_shock,-0.1737330536604565,0.031452463769325784,0.1737330536604565
oracle_gain_vs_baseline,input_mean_crossing_rate,0.17334117459204945,0.048312991569899176,0.17334117459204945
static_regret_vs_oracle,input_mean,-0.17186193104700442,-0.2554517757431271,0.17186193104700442
static_regret_vs_oracle,input_trend,-0.1699731563300124,-0.1528772307305223,0.1699731563300124
oracle_gain_vs_baseline,input_realized_volatility,-0.16948769708604683,-0.2359665001367106,0.16948769708604683
oracle_gain_vs_baseline,input_volatility,-0.16906316142860586,-0.2811286716737835,0.16906316142860586
oracle_gain_vs_baseline,input_spectral_centroid,0.16863862577116492,0.06126503782356997,0.16863862577116492
static_regret_vs_oracle,input_mid_freq_energy_ratio,0.16695774406253383,0.05070400867075772,0.16695774406253383
oracle_gain_vs_baseline,input_direction_entropy,-0.1631849754025002,-0.17508896783917738,0.1631849754025002
oracle_gain_vs_baseline,input_high_freq_energy_ratio,0.15903758859519232,-0.028827564171497455,0.15903758859519232
static_regret_vs_oracle,input_kurtosis,0.15608900534019365,0.20750498885999744,0.15608900534019365
oracle_gain_vs_baseline,router_time_iqr_mad_ratio,-0.149730460720525,-0.1834175188076819,0.149730460720525
oracle_gain_vs_baseline,router_freq_dominant_period_to_horizon_ratio,0.14865201220443586,0.02301967410173094,0.14865201220443586
oracle_gain_vs_baseline,input_upside_volatility,-0.14852216692626993,-0.22684200174246252,0.14852216692626993
oracle_gain_vs_baseline,router_time_trend_to_noise_ratio,-0.1423174150098251,-0.3229642358034694,0.1423174150098251
oracle_gain_vs_baseline,input_top3_frequency_energy_ratio,-0.14228475842079116,-0.06674600555249441,0.14228475842079116
oracle_gain_vs_baseline,router_time_late_early_level_shift,-0.14133771733880746,-0.11606161817100256,0.14133771733880746
oracle_gain_vs_baseline,input_spectral_bandwidth,0.13506765224429473,-0.06035884673520612,0.13506765224429473
oracle_gain_vs_baseline,input_skewness,-0.13470842976492162,-0.26227044238974295,0.13470842976492162
oracle_gain_vs_baseline,router_time_robust_scale_ratio,-0.13330419643646305,-0.18379115189003126,0.13330419643646305
static_regret_vs_oracle,seq_len,0.13086887265820632,0.17592888235068285,0.13086887265820632
static_regret_vs_oracle,router_multivar_channel_heterogeneity_cv,0.12676329262900135,0.1725386443009214,0.12676329262900135
static_regret_vs_oracle,router_freq_high_freq_noise_share,0.12431119913676607,0.10959765388654222,0.12431119913676607
static_regret_vs_oracle,input_mean_crossing_rate,0.12099755928239404,-0.025260183251859872,0.12099755928239404
oracle_gain_vs_baseline,input_downside_volatility,-0.11694324533046893,-0.24172676225879294,0.11694324533046893
oracle_gain_vs_baseline,input_reversal_rate,0.11517978952263723,-0.21279864787765998,0.11517978952263723
static_regret_vs_oracle,router_freq_dominant_period_to_horizon_ratio,0.11184907954279559,0.12539562653454536,0.11184907954279559
oracle_gain_vs_baseline,input_momentum,0.11184881744117735,0.06229168366186724,0.11184881744117735
oracle_gain_vs_baseline,pred_len,-0.11069953518203529,0.059911910479559224,0.11069953518203529
oracle_gain_vs_baseline,input_mean,-0.1074401779215981,0.11132687299775121,0.1074401779215981
static_regret_vs_oracle,input_volatility_shock,-0.10582108874937021,-0.46124862966315555,0.10582108874937021
oracle_gain_vs_baseline,input_trend_consistency,-0.10339076088139197,0.2205577210559493,0.10339076088139197
oracle_gain_vs_baseline,input_lag1_autocorr,-0.10309685158008669,0.20928597035833818,0.10309685158008669
static_regret_vs_oracle,router_freq_spectral_entropy,0.09942576383043224,0.030481166902627373,0.09942576383043224
static_regret_vs_oracle,input_cv,0.09932635463480106,0.09698763694883791,0.09932635463480106
oracle_gain_vs_baseline,input_max_abs_change,-0.09826367640306646,-0.24199634280172838,0.09826367640306646
static_regret_vs_oracle,input_volatility,-0.0970399431352844,0.08978459393241191,0.0970399431352844
static_regret_vs_oracle,input_jump_intensity,-0.09289789331731939,-0.06396619446434851,0.09289789331731939
static_regret_vs_oracle,input_spectral_flatness,0.08984934465129711,0.04151110959283875,0.08984934465129711
static_regret_vs_oracle,pred_len,-0.08809815383226331,0.013666070546905155,0.08809815383226331
oracle_gain_vs_baseline,input_cumulative_change,-0.08722952302298487,0.1091487067410945,0.08722952302298487
static_regret_vs_oracle,input_momentum,0.08703275077508091,0.08643293751856075,0.08703275077508091
static_regret_vs_oracle,router_time_outlier_mass_z3,-0.08630375000711907,0.0766702013099707,0.08630375000711907
static_regret_vs_oracle,input_spectral_centroid,0.08249306417459125,-0.023321140954746918,0.08249306417459125
oracle_gain_vs_baseline,input_mean_reversion_strength,0.08209866483127587,-0.1301617864323774,0.08209866483127587
