feature,train_mean_gain_vs_static,train_positive_vs_static_rate,train_regret_vs_oracle,train_action_hit_rate,outer_mode,outer_fold,selection_mode
seq_len,0.01796785457070717,0.5178571428571429,0.010123555733778626,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
input_jump_intensity,0.01796785457070717,0.5178571428571429,0.010123555733778626,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
router_freq_seasonal_peak_strength,0.01796066252771736,0.5,0.010133010001009383,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
router_freq_harmonic_energy_ratio,0.017929282232239892,0.48214285714285715,0.010167197102230092,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
input_spectral_entropy,0.01781504475401543,0.48214285714285715,0.010278948945482693,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/336,train_score
input_turbulence_score,0.0177872696592992,0.5,0.010305985512854178,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/336,train_score
router_multivar_missing_or_constant_channel_ratio,0.017748077080685664,0.5357142857142857,0.010342517276091829,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
router_freq_spectral_entropy,0.017700299613265715,0.48214285714285715,0.010393694086232407,0.6785714285714286,leave_cell,Informer-fullgrid:ETTh1/336,train_score
n_heads,0.0176538498191822,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
d_model,0.0176538498191822,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
train_epochs,0.0176538498191822,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
d_ff,0.0176538498191822,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
scope_config_count,0.0176538498191822,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
patch_to_seq_ratio,0.0176538498191822,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
d_layers,0.019603270577345327,0.48214285714285715,0.00657512218603603,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_multivar_correlation_condition_number,0.01794859265261765,0.5178571428571429,0.008431969342198864,0.7857142857142857,leave_cell,Informer-fullgrid:ETTh1/720,train_score
input_daily_cycle_energy_ratio,0.017753978213159414,0.48214285714285715,0.008628743216647307,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_timefreq_dominant_frequency_drift,0.017673160239559955,0.48214285714285715,0.008709985150268884,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
input_dominant_frequency_energy_ratio,0.017673160239559955,0.48214285714285715,0.008709985150268884,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
seq_len,0.017568240236717145,0.5178571428571429,0.008812321758099368,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
input_jump_intensity,0.017568240236717145,0.5178571428571429,0.008812321758099368,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_freq_seasonal_peak_strength,0.017561048193727335,0.5,0.008821776025330125,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_freq_harmonic_energy_ratio,0.01752966789824987,0.48214285714285715,0.008855963126550835,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
input_spectral_entropy,0.017415430420025402,0.48214285714285715,0.008967714969803435,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/720,train_score
input_turbulence_score,0.017387655325309174,0.5,0.00899475153717492,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_multivar_missing_or_constant_channel_ratio,0.01734846274669564,0.5357142857142857,0.009031283300412571,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_freq_spectral_entropy,0.017300685279275693,0.48214285714285715,0.009082460110553149,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/720,train_score
n_heads,0.017254235485192174,0.44642857142857145,0.009133978934620856,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
d_model,0.017254235485192174,0.44642857142857145,0.009133978934620856,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
train_epochs,0.017254235485192174,0.44642857142857145,0.009133978934620856,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
d_ff,0.017254235485192174,0.44642857142857145,0.009133978934620856,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
scope_config_count,0.017254235485192174,0.44642857142857145,0.009133978934620856,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
patch_to_seq_ratio,0.017254235485192174,0.44642857142857145,0.009133978934620856,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
pred_to_seq_ratio,0.017254235485192174,0.44642857142857145,0.009133978934620856,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
d_layers,0.020143282947227874,0.5,0.007886356161715288,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_multivar_correlation_condition_number,0.01848860502250019,0.5357142857142857,0.009743203317878122,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh2/24,train_score
input_daily_cycle_energy_ratio,0.018293990583041955,0.5,0.009939977192326564,0.75,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_timefreq_dominant_frequency_drift,0.0182131726094425,0.5,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
input_spectral_entropy,0.0182131726094425,0.5,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
