model_scope,dataset,pred_len,seq_len,label_len,e_layers,d_layers,factor,action,action_config,action_mse,baseline_config,baseline_mse,oracle_mse,static_mse,oracle_action,static_config,action_gain_vs_baseline,action_regret_vs_oracle,action_gain_vs_static
Informer-fullgrid,ETTh2,336,336,168,3,2,5,output_tanh,tanh_all_outtanh,2.053870566666667,gelu_all,3.9278808,2.053870566666667,2.1715324666666667,output_tanh,tanh_sin001_all,0.47710465993095647,0.0,0.05418380881065645
Informer-fullgrid,ETTh2,720,720,336,3,2,5,baseline,gelu_all,4.088657166666667,gelu_all,4.088657166666667,3.298198733333334,3.619466166666667,output_tanh,tanh_sin001_all,0.0,0.23966367621955087,-0.12962988971163641
Informer-fullgrid,ETTh2,720,720,336,3,2,5,bounded_linear,tanh_sin001_all,3.619466166666667,gelu_all,4.088657166666667,3.298198733333334,3.619466166666667,output_tanh,tanh_sin001_all,0.11475430217655393,0.09740693612135481,0.0
Informer-fullgrid,ETTh2,720,720,336,3,2,5,other_linear,swish_all,3.6891528,gelu_all,4.088657166666667,3.298198733333334,3.619466166666667,output_tanh,tanh_sin001_all,0.09771040964835113,0.11853563058995763,-0.019253290436890707
Informer-fullgrid,ETTh2,720,720,336,3,2,5,output_tanh,tanh_all_outtanh,3.298198733333334,gelu_all,4.088657166666667,3.298198733333334,3.619466166666667,output_tanh,tanh_sin001_all,0.19332959480624903,0.0,0.08876099914734203
Informer-fullgrid,ETTm1,24,672,96,2,1,5,baseline,gelu_all,0.36323779,gelu_all,0.36323779,0.3144746066666666,0.3307421466666667,bounded_linear,tanh_sin001_all,0.0,0.15506238754921436,-0.09825068761521812
Informer-fullgrid,ETTm1,24,672,96,2,1,5,bounded_linear,tanh_all,0.3144746066666666,gelu_all,0.36323779,0.3144746066666666,0.3307421466666667,bounded_linear,tanh_sin001_all,0.13424589807501416,0.0,0.04918496225518868
Informer-fullgrid,ETTm1,24,672,96,2,1,5,other_linear,swish_all,0.3319513733333333,gelu_all,0.36323779,0.3144746066666666,0.3307421466666667,bounded_linear,tanh_sin001_all,0.08613205323891741,0.05557449249055436,-0.0036561009198664927
Informer-fullgrid,ETTm1,24,672,96,2,1,5,output_tanh,tanh_all_outtanh,0.43399211,gelu_all,0.36323779,0.3144746066666666,0.3307421466666667,bounded_linear,tanh_sin001_all,-0.19478788261540733,0.38005454430862284,-0.3121766136367016
Informer-fullgrid,ETTm1,48,96,48,2,1,5,baseline,gelu_all,0.5090825200000001,gelu_all,0.5090825200000001,0.4533515166666667,0.4834186933333333,bounded_linear,tanh_sin001_all,0.0,0.12293110596188973,-0.05308819667213554
Informer-fullgrid,ETTm1,48,96,48,2,1,5,bounded_linear,tanh_all,0.4533515166666667,gelu_all,0.5090825200000001,0.4533515166666667,0.4834186933333333,bounded_linear,tanh_sin001_all,0.10947341765600871,0.0,0.062196967310766196
Informer-fullgrid,ETTm1,48,96,48,2,1,5,other_linear,swish_all,0.5036927533333334,gelu_all,0.5090825200000001,0.4533515166666667,0.4834186933333333,bounded_linear,tanh_sin001_all,0.010587216128863909,0.11104239164524703,-0.0419389243312121
Informer-fullgrid,ETTm1,48,96,48,2,1,5,output_tanh,tanh_all_outtanh,0.5546887066666667,gelu_all,0.5090825200000001,0.4533515166666667,0.4834186933333333,bounded_linear,tanh_sin001_all,-0.08958505718614458,0.2235289533055862,-0.1474291629930627
Informer-fullgrid,ETTm1,96,384,384,2,1,5,baseline,gelu_all,0.6162993133333333,gelu_all,0.6162993133333333,0.5593670199999999,0.5593670199999999,bounded_linear,tanh_sin001_all,0.0,0.10177985347318723,-0.10177985347318723
Informer-fullgrid,ETTm1,96,384,384,2,1,5,bounded_linear,tanh_sin001_all,0.5593670199999999,gelu_all,0.6162993133333333,0.5593670199999999,0.5593670199999999,bounded_linear,tanh_sin001_all,0.09237766796365199,0.0,0.0
Informer-fullgrid,ETTm1,96,384,384,2,1,5,other_linear,relu_all,0.60199682,gelu_all,0.6162993133333333,0.5593670199999999,0.5593670199999999,bounded_linear,tanh_sin001_all,0.023207057064491075,0.07621078554112835,-0.07621078554112835
Informer-fullgrid,ETTm1,96,384,384,2,1,5,output_tanh,tanh_all_outtanh,0.6443411333333334,gelu_all,0.6162993133333333,0.5593670199999999,0.5593670199999999,bounded_linear,tanh_sin001_all,-0.045500326535060295,0.15191119657596813,-0.15191119657596813
Informer-fullgrid,ETTm1,288,672,288,2,1,5,baseline,gelu_all,0.8856588200000001,gelu_all,0.8856588200000001,0.8019380233333333,0.8031218266666666,bounded_linear,tanh_sin001_all,0.0,0.10439808841919372,-0.10277020321549567
Informer-fullgrid,ETTm1,288,672,288,2,1,5,bounded_linear,tanh_all,0.8019380233333333,gelu_all,0.8856588200000001,0.8019380233333333,0.8031218266666666,bounded_linear,tanh_sin001_all,0.0945293997824882,0.0,0.0014740021924776778
Informer-fullgrid,ETTm1,288,672,288,2,1,5,other_linear,swish_all,0.8536934400000001,gelu_all,0.8856588200000001,0.8019380233333333,0.8031218266666666,bounded_linear,tanh_sin001_all,0.03609220534833033,0.0645379258256647,-0.06296879458902203
Informer-fullgrid,ETTm1,288,672,288,2,1,5,output_tanh,tanh_all_outtanh,0.8378797800000001,gelu_all,0.8856588200000001,0.8019380233333333,0.8031218266666666,bounded_linear,tanh_sin001_all,0.05394745574825303,0.04481862141574403,-0.04327855647703572
Informer-fullgrid,ETTm1,672,672,384,2,1,5,baseline,gelu_all,1.002575233333333,gelu_all,1.002575233333333,0.92203278,1.00667942,bounded_linear,tanh_sin001_all,0.0,0.08735313437916285,0.0040769549720872395
