feature,train_mean_gain_vs_static,train_positive_vs_static_rate,train_regret_vs_oracle,train_action_hit_rate,outer_mode,outer_fold,selection_mode
input_dominant_frequency_energy_ratio,-0.0005570997258642878,0.3584905660377358,0.03174148432386768,0.7924528301886793,leave_dataset,Solar3,train_score
input_daily_cycle_energy_ratio,-0.0007792417115326514,0.32075471698113206,0.03196557627493821,0.7547169811320755,leave_dataset,Solar3,train_score
router_timefreq_dominant_frequency_drift,-0.0007792417115326514,0.32075471698113206,0.03196557627493821,0.7547169811320755,leave_dataset,Solar3,train_score
input_spectral_entropy,-0.0007792417115326514,0.32075471698113206,0.03196557627493821,0.7547169811320755,leave_dataset,Solar3,train_score
n_heads,-0.0009566799788167639,0.3584905660377358,0.03214106457682016,0.7358490566037735,leave_dataset,Solar3,train_score
d_model,-0.0009566799788167639,0.3584905660377358,0.03214106457682016,0.7358490566037735,leave_dataset,Solar3,train_score
d_ff,-0.0009566799788167639,0.3584905660377358,0.03214106457682016,0.7358490566037735,leave_dataset,Solar3,train_score
router_freq_seasonal_peak_strength,-0.0009566799788167639,0.3584905660377358,0.03214106457682016,0.7358490566037735,leave_dataset,Solar3,train_score
router_freq_harmonic_energy_ratio,-0.0009566799788167639,0.3584905660377358,0.03214106457682016,0.7358490566037735,leave_dataset,Solar3,train_score
router_freq_spectral_entropy,-0.0009566799788167639,0.3584905660377358,0.03214106457682016,0.7358490566037735,leave_dataset,Solar3,train_score
router_multivar_missing_or_constant_channel_ratio,-0.0010057936659917828,0.37735849056603776,0.03218933579338858,0.7735849056603774,leave_dataset,Solar3,train_score
train_epochs,-0.0011724792146973841,0.2830188679245283,0.03236366506084614,0.7169811320754716,leave_dataset,Solar3,train_score
scope_config_count,-0.0011724792146973841,0.2830188679245283,0.03236366506084614,0.7169811320754716,leave_dataset,Solar3,train_score
patch_to_seq_ratio,-0.0011724792146973841,0.2830188679245283,0.03236366506084614,0.7169811320754716,leave_dataset,Solar3,train_score
pred_to_seq_ratio,-0.0012153539668311,0.32075471698113206,0.03240348457715388,0.7169811320754716,leave_dataset,Solar3,train_score
d_layers,0.0016575629278222175,0.3090909090909091,0.028571693957848043,0.7090909090909091,leave_dataset,Solar4,train_score
router_multivar_correlation_condition_number,-0.0010272352861732152,0.34545454545454546,0.031481999117271925,0.7636363636363637,leave_dataset,Solar4,train_score
input_daily_cycle_energy_ratio,-0.0011136790108518563,0.34545454545454546,0.03157013215929672,0.7636363636363637,leave_dataset,Solar4,train_score
input_dominant_frequency_energy_ratio,-0.0012307309121016778,0.32727272727272727,0.03168779809879117,0.7454545454545455,leave_dataset,Solar4,train_score
router_timefreq_dominant_frequency_drift,-0.0013073388836019643,0.3090909090909091,0.03176473164967102,0.7272727272727273,leave_dataset,Solar4,train_score
router_freq_harmonic_energy_ratio,-0.0013739903237718883,0.3090909090909091,0.03183283603001954,0.7272727272727273,leave_dataset,Solar4,train_score
router_freq_seasonal_peak_strength,-0.0014715002102095335,0.32727272727272727,0.03192856739689903,0.7090909090909091,leave_dataset,Solar4,train_score
input_spectral_entropy,-0.0015758961687733241,0.3090909090909091,0.032033288934842384,0.7090909090909091,leave_dataset,Solar4,train_score
seq_len,-0.0015960353675473183,0.34545454545454546,0.03205079919864603,0.7272727272727273,leave_dataset,Solar4,train_score
input_jump_intensity,-0.0015960353675473183,0.34545454545454546,0.03205079919864603,0.7272727272727273,leave_dataset,Solar4,train_score
n_heads,-0.0016540939212006374,0.2727272727272727,0.03211556856241864,0.6909090909090909,leave_dataset,Solar4,train_score
d_model,-0.0016540939212006374,0.2727272727272727,0.03211556856241864,0.6909090909090909,leave_dataset,Solar4,train_score
train_epochs,-0.0016540939212006374,0.2727272727272727,0.03211556856241864,0.6909090909090909,leave_dataset,Solar4,train_score
d_ff,-0.0016540939212006374,0.2727272727272727,0.03211556856241864,0.6909090909090909,leave_dataset,Solar4,train_score
scope_config_count,-0.0016540939212006374,0.2727272727272727,0.03211556856241864,0.6909090909090909,leave_dataset,Solar4,train_score
patch_to_seq_ratio,-0.0016540939212006374,0.2727272727272727,0.03211556856241864,0.6909090909090909,leave_dataset,Solar4,train_score
pred_to_seq_ratio,-0.0016540939212006374,0.2727272727272727,0.03211556856241864,0.6909090909090909,leave_dataset,Solar4,train_score
router_freq_spectral_entropy,-0.0017181616049676447,0.3090909090909091,0.0321755543710367,0.6727272727272727,leave_dataset,Solar4,train_score
router_multivar_missing_or_constant_channel_ratio,-0.0017692372308920005,0.32727272727272727,0.032225799213839876,0.7090909090909091,leave_dataset,Solar4,train_score
input_turbulence_score,-0.0017799036409808882,0.32727272727272727,0.03223654588279568,0.7090909090909091,leave_dataset,Solar4,train_score
d_layers,0.0018991332247941342,0.32075471698113206,0.028830634365618068,0.7547169811320755,leave_dataset,Solar5,train_score
router_multivar_correlation_condition_number,-0.0012468182627091834,0.32075471698113206,0.032214838402777175,0.7735849056603774,leave_dataset,Solar5,train_score
router_freq_harmonic_energy_ratio,-0.0012468182627091834,0.32075471698113206,0.032214838402777175,0.7735849056603774,leave_dataset,Solar5,train_score
input_daily_cycle_energy_ratio,-0.0013365240147341878,0.32075471698113206,0.03230629721997271,0.7735849056603774,leave_dataset,Solar5,train_score
input_jump_intensity,-0.0014160228530835422,0.3018867924528302,0.032386133923715955,0.7547169811320755,leave_dataset,Solar5,train_score
input_turbulence_score,-0.0014160228530835422,0.3018867924528302,0.032386133923715955,0.7547169811320755,leave_dataset,Solar5,train_score
input_spectral_entropy,-0.0014326702972596056,0.33962264150943394,0.03239982830389996,0.7735849056603774,leave_dataset,Solar5,train_score
input_dominant_frequency_energy_ratio,-0.0014579929688613611,0.3018867924528302,0.032428403383599036,0.7547169811320755,leave_dataset,Solar5,train_score
n_heads,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
d_model,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
train_epochs,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
d_ff,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
scope_config_count,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
patch_to_seq_ratio,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
router_freq_seasonal_peak_strength,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
router_multivar_missing_or_constant_channel_ratio,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
router_timefreq_dominant_frequency_drift,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
seq_len,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
pred_to_seq_ratio,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
router_freq_spectral_entropy,-0.0015374918072107156,0.2830188679245283,0.03250824008734227,0.7358490566037735,leave_dataset,Solar5,train_score
d_layers,0.00206710916178772,0.32727272727272727,0.028448513921186188,0.7090909090909091,leave_dataset,Solar6,train_score
router_multivar_correlation_condition_number,-0.0006176890522077132,0.36363636363636365,0.03135881908061007,0.7636363636363637,leave_dataset,Solar6,train_score
input_daily_cycle_energy_ratio,-0.0007041327768863538,0.36363636363636365,0.031446952122634875,0.7636363636363637,leave_dataset,Solar6,train_score
input_dominant_frequency_energy_ratio,-0.0008211846781361753,0.34545454545454546,0.03156461806212932,0.7454545454545455,leave_dataset,Solar6,train_score
router_timefreq_dominant_frequency_drift,-0.0008977926496364624,0.32727272727272727,0.03164155161300917,0.7272727272727273,leave_dataset,Solar6,train_score
input_spectral_entropy,-0.0008977926496364624,0.32727272727272727,0.03164155161300917,0.7272727272727273,leave_dataset,Solar6,train_score
router_freq_harmonic_energy_ratio,-0.0009644440898063865,0.32727272727272727,0.03170965599335769,0.7272727272727273,leave_dataset,Solar6,train_score
router_freq_seasonal_peak_strength,-0.001138561947744318,0.32727272727272727,0.03188232091111703,0.6909090909090909,leave_dataset,Solar6,train_score
seq_len,-0.0011864891335818157,0.36363636363636365,0.03192761916198417,0.7272727272727273,leave_dataset,Solar6,train_score
input_jump_intensity,-0.0011864891335818157,0.36363636363636365,0.03192761916198417,0.7272727272727273,leave_dataset,Solar6,train_score
input_turbulence_score,-0.0011864891335818157,0.36363636363636365,0.03192761916198417,0.7272727272727273,leave_dataset,Solar6,train_score
n_heads,-0.0012445476872351357,0.2909090909090909,0.03199238852575679,0.6909090909090909,leave_dataset,Solar6,train_score
d_model,-0.0012445476872351357,0.2909090909090909,0.03199238852575679,0.6909090909090909,leave_dataset,Solar6,train_score
train_epochs,-0.0012445476872351357,0.2909090909090909,0.03199238852575679,0.6909090909090909,leave_dataset,Solar6,train_score
d_ff,-0.0012445476872351357,0.2909090909090909,0.03199238852575679,0.6909090909090909,leave_dataset,Solar6,train_score
scope_config_count,-0.0012445476872351357,0.2909090909090909,0.03199238852575679,0.6909090909090909,leave_dataset,Solar6,train_score
patch_to_seq_ratio,-0.0012445476872351357,0.2909090909090909,0.03199238852575679,0.6909090909090909,leave_dataset,Solar6,train_score
pred_to_seq_ratio,-0.0012445476872351357,0.2909090909090909,0.03199238852575679,0.6909090909090909,leave_dataset,Solar6,train_score
router_freq_spectral_entropy,-0.0013086153710021428,0.32727272727272727,0.032052374334374856,0.6727272727272727,leave_dataset,Solar6,train_score
router_multivar_missing_or_constant_channel_ratio,-0.001359690996926498,0.34545454545454546,0.03210261917717803,0.7090909090909091,leave_dataset,Solar6,train_score
d_layers,-0.07003079440868211,0.18181818181818182,0.09397376164286103,0.7272727272727273,leave_dataset,Solar7,train_score
router_multivar_correlation_condition_number,-0.0802145639283955,0.21818181818181817,0.10480745322496854,0.7818181818181819,leave_dataset,Solar7,train_score
input_daily_cycle_energy_ratio,-0.08030100765307413,0.21818181818181817,0.10489558626699333,0.7818181818181819,leave_dataset,Solar7,train_score
input_dominant_frequency_energy_ratio,-0.08041805955432398,0.2,0.10501325220648777,0.7636363636363637,leave_dataset,Solar7,train_score
router_timefreq_dominant_frequency_drift,-0.08049466752582425,0.18181818181818182,0.10509018575736762,0.7454545454545455,leave_dataset,Solar7,train_score
router_freq_harmonic_energy_ratio,-0.08056131896599418,0.18181818181818182,0.10515829013771615,0.7454545454545455,leave_dataset,Solar7,train_score
router_freq_seasonal_peak_strength,-0.08065882885243181,0.2,0.10525402150459563,0.7272727272727273,leave_dataset,Solar7,train_score
input_jump_intensity,-0.08066631210851978,0.23636363636363636,0.10525858736684819,0.7636363636363637,leave_dataset,Solar7,train_score
input_spectral_entropy,-0.08076322481099561,0.18181818181818182,0.105358743042539,0.7272727272727273,leave_dataset,Solar7,train_score
seq_len,-0.0807833640097696,0.21818181818181817,0.10537625330634263,0.7454545454545455,leave_dataset,Solar7,train_score
input_turbulence_score,-0.0807833640097696,0.21818181818181817,0.10537625330634263,0.7454545454545455,leave_dataset,Solar7,train_score
