feature,train_mean_gain_vs_static,train_positive_vs_static_rate,train_regret_vs_oracle,train_action_hit_rate,outer_mode,outer_fold,selection_mode
pred_to_seq_ratio,-0.0017457632383215261,0.26785714285714285,0.030036515818766818,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_freq_spectral_entropy,-0.00180868685630698,0.30357142857142855,0.030095430452230985,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/720,train_score
input_turbulence_score,-0.001869326355962844,0.32142857142857145,0.030155332829851413,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_multivar_missing_or_constant_channel_ratio,-0.001879945365715613,0.35714285714285715,0.030163291024228298,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
d_layers,0.001981789859265424,0.32142857142857145,0.027988911382941097,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_multivar_correlation_condition_number,-0.0006550655294800921,0.35714285714285715,0.03084724680737527,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh2/24,train_score
input_daily_cycle_energy_ratio,-0.0008152055882272526,0.3392857142857143,0.031009365782549477,0.75,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_timefreq_dominant_frequency_drift,-0.0009301672769547559,0.32142857142857145,0.031124930544552953,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
input_spectral_entropy,-0.0009301672769547559,0.32142857142857145,0.031124930544552953,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
input_dominant_frequency_energy_ratio,-0.0009301672769547559,0.32142857142857145,0.031124930544552953,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_freq_harmonic_energy_ratio,-0.0009956285128359314,0.32142857142857145,0.031191818775252393,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_freq_seasonal_peak_strength,-0.0010913971513014757,0.3392857142857143,0.0312858406534376,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh2/24,train_score
seq_len,-0.0012137084665439432,0.35714285714285715,0.03140588974443912,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
input_jump_intensity,-0.0012137084665439432,0.35714285714285715,0.03140588974443912,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
n_heads,-0.0012707302603105952,0.2857142857142857,0.031469502512430074,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
d_model,-0.0012707302603105952,0.2857142857142857,0.031469502512430074,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
train_epochs,-0.0012707302603105952,0.2857142857142857,0.031469502512430074,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
d_ff,-0.0012707302603105952,0.2857142857142857,0.031469502512430074,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
scope_config_count,-0.0012707302603105952,0.2857142857142857,0.031469502512430074,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
patch_to_seq_ratio,-0.0012707302603105952,0.2857142857142857,0.031469502512430074,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
pred_to_seq_ratio,-0.0012707302603105952,0.2857142857142857,0.031469502512430074,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_freq_spectral_entropy,-0.0013336538782960496,0.32142857142857145,0.031528417145894244,0.6785714285714286,leave_cell,Informer-fullgrid:ETTh2/24,train_score
input_turbulence_score,-0.0013942933779519137,0.3392857142857143,0.03158831952351467,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_multivar_missing_or_constant_channel_ratio,-0.0014049123877046825,0.375,0.03159627771789156,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
d_layers,0.002179374228656345,0.32142857142857145,0.02719549278523073,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh2/48,train_score
router_multivar_correlation_condition_number,-0.00045748116008917074,0.35714285714285715,0.030053828209664898,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh2/48,train_score
input_daily_cycle_energy_ratio,-0.0006176212188363313,0.3392857142857143,0.030215947184839106,0.75,leave_cell,Informer-fullgrid:ETTh2/48,train_score
router_timefreq_dominant_frequency_drift,-0.0007325829075638346,0.32142857142857145,0.030331511946842582,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
input_spectral_entropy,-0.0007325829075638346,0.32142857142857145,0.030331511946842582,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
input_dominant_frequency_energy_ratio,-0.0007325829075638346,0.32142857142857145,0.030331511946842582,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
router_freq_harmonic_energy_ratio,-0.00079804414344501,0.32142857142857145,0.030398400177542025,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
router_freq_seasonal_peak_strength,-0.0008938127819105544,0.3392857142857143,0.03049242205572723,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh2/48,train_score
seq_len,-0.001016124097153022,0.35714285714285715,0.03061247114672875,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
input_jump_intensity,-0.001016124097153022,0.35714285714285715,0.03061247114672875,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
n_heads,-0.001073145890919674,0.2857142857142857,0.03067608391471971,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/48,train_score
d_model,-0.001073145890919674,0.2857142857142857,0.03067608391471971,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/48,train_score
train_epochs,-0.001073145890919674,0.2857142857142857,0.03067608391471971,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/48,train_score
d_ff,-0.001073145890919674,0.2857142857142857,0.03067608391471971,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/48,train_score
scope_config_count,-0.001073145890919674,0.2857142857142857,0.03067608391471971,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/48,train_score
patch_to_seq_ratio,-0.001073145890919674,0.2857142857142857,0.03067608391471971,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/48,train_score
pred_to_seq_ratio,-0.001073145890919674,0.2857142857142857,0.03067608391471971,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/48,train_score
router_freq_spectral_entropy,-0.0011360695089051283,0.32142857142857145,0.030734998548183876,0.6785714285714286,leave_cell,Informer-fullgrid:ETTh2/48,train_score
input_turbulence_score,-0.0011967090085609924,0.3392857142857143,0.030794900925804305,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh2/48,train_score
